wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,delta_EV_vs_E1_market,cost_R,net_EV_per_signal
WF3,1.25,TOUCH_FILL,3008,1674,0.5565159574468085,0.11735372340425532,0.0,0.12267287234042554,0.018617021276595744,0.0,1.2727272727272727,2.2519871375239755,0.40364092906465787,1.2302657209562318,0.137321051417715,0.14678955947379368,0.06507727224349069,0.0889580346548382,0.038149080754129,-0.01129752907414544,0.0,0.06507727224349069
WF1,1.25,STRICT_TRADE_THROUGH,3160,1606,0.5082278481012659,0.1259493670886076,0.0,0.10443037974683544,0.025,0.0,1.4210526315789473,2.2140687151364378,0.3702970297029703,1.060078377455469,0.037831532734334976,0.04994374395545739,0.009909738003961225,0.042140750662189225,-0.018887730350469156,-0.03211200303148243,0.0,0.009909738003961225
WF2,1.25,STRICT_TRADE_THROUGH,2847,1566,0.5500526870389885,0.14014752370916755,0.0,0.07446434843695118,0.024938531787846857,0.0,1.3333333333333333,2.2520553992928916,0.3862295081967213,1.120366412304141,0.0738773520765088,0.07830358158470548,0.023063913563988733,0.05116366769114009,0.008662789573823647,-0.024454995346716437,0.0,0.023063913563988733
WF3,1.25,STRICT_TRADE_THROUGH,3008,1654,0.5498670212765957,0.12034574468085106,0.0,0.12599734042553193,0.018949468085106384,0.0,1.3,2.264103064217131,0.399746192893401,1.2182901003260256,0.13102946377437819,0.14060010675238158,0.06000745841370346,0.08405444422930629,0.034076607349873674,-0.016367342903932672,0.0,0.06000745841370346
WF1,1.5,TOUCH_FILL,3160,1517,0.4800632911392405,0.1319620253164557,0.0,0.12531645569620253,0.026265822784810128,0.0,1.5000000000002676,2.3825257685156878,0.3587946741415557,1.1144320422872576,0.07337443496344828,0.0871095435829301,0.021109278067354655,0.057375100852164955,-0.007371734590873195,-0.020912462968089,0.0,0.021109278067354655
WF2,1.5,TOUCH_FILL,2847,1416,0.49736564805057953,0.1475237091675448,0.0,0.11239901650860555,0.032314717246224096,0.0,1.500000000000142,2.4712466741865415,0.351409978308026,1.0944727709778568,0.061274096577829,0.06669709007023672,0.0069343433674525804,0.045044634902401605,-0.004656805209997367,-0.04058456554325259,0.0,0.0069343433674525804
WF3,1.5,TOUCH_FILL,3008,1453,0.48304521276595747,0.13164893617021275,0.0,0.17885638297872342,0.02160904255319149,0.0,1.5000000000001894,2.5216049259345734,0.3745506829618979,1.2530382348261184,0.15826259115652266,0.16964528945510904,0.059888053290798875,0.08792440080852945,0.0392763511631393,-0.016486748026837257,0.0,0.059888053290798875
WF1,1.5,STRICT_TRADE_THROUGH,3160,1490,0.47151898734177217,0.13354430379746834,0.0,0.13291139240506328,0.025632911392405065,0.0,1.5555555555555556,2.3985178462002,0.35428571428571426,1.1014439366071245,0.06550379906631479,0.07950379906631518,0.01699535401672174,0.05231180971292446,-0.011485658641506108,-0.025026387018721917,0.0,0.01699535401672174
WF2,1.5,STRICT_TRADE_THROUGH,2847,1387,0.48717948717948717,0.1510361784334387,0.0,0.12118018967334036,0.02985598876009835,0.0,1.500000000000142,2.491553922601401,0.34933530280649927,1.0922157497924376,0.060001532915168,0.06369429510128317,0.0057049791243897075,0.03977593100356073,-0.00588616945306024,-0.041813929786315464,0.0,0.0057049791243897075
WF3,1.5,STRICT_TRADE_THROUGH,3008,1431,0.4757313829787234,0.13430851063829788,0.0,0.18617021276595744,0.018949468085106384,0.0,1.5000000000002067,2.53731094156739,0.36888239590942296,1.2339621114568553,0.14765760723062313,0.15922322690435106,0.05390401073760739,0.07795099655321029,0.03329230860994781,-0.022470790580028745,0.0,0.05390401073760739
