wf,rr_target,fill_model,status,n
WF2,1.5,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,1.5,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,65
WF2,1.5,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,24
WF2,1.5,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.5,TOUCH_FILL,EXPIRED_UNFILLED,320
WF2,1.5,TOUCH_FILL,FILLED,688
WF2,1.5,TOUCH_FILL,FILLED_AT_OPEN,728
WF2,1.5,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.5,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,420
WF2,1.5,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,1.5,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,2.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,104
WF2,2.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,8
WF2,2.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,2.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,536
WF2,2.0,STRICT_TRADE_THROUGH,FILLED,631
WF2,2.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,478
WF2,2.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,2.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,488
WF2,2.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,2.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,2.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,102
WF2,2.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,11
WF2,2.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,2.0,TOUCH_FILL,EXPIRED_UNFILLED,474
WF2,2.0,TOUCH_FILL,FILLED,695
WF2,2.0,TOUCH_FILL,FILLED_AT_OPEN,478
WF2,2.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,2.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,485
WF2,2.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,2.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,3.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,179
WF2,3.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,6
WF2,3.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,3.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,801
WF2,3.0,STRICT_TRADE_THROUGH,FILLED,489
WF2,3.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,267
WF2,3.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,3.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,503
WF2,3.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,3.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,3.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,161
WF2,3.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,7
WF2,3.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,3.0,TOUCH_FILL,EXPIRED_UNFILLED,736
WF2,3.0,TOUCH_FILL,FILLED,573
WF2,3.0,TOUCH_FILL,FILLED_AT_OPEN,267
WF2,3.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,3.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,501
WF2,3.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,3.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF3,0.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,1
WF3,0.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,62
WF3,0.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,1
WF3,0.25,STRICT_TRADE_THROUGH,FILLED,80
