instrument,horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
AG,16,F3_VOL,linear_qr,6,225,-0.0009178733559333497,0.000472553920708038,-6.16503807106081e-05,0.49333333333333335
AG,16,F3_VOL,linear_qr,7,225,-0.00018075330349990272,0.0012240390563506677,0.0011398063563395,0.5377777777777778
AG,16,F3_VOL,linear_qr,8,225,0.0004581707783145987,-7.239400690100894e-05,-0.0014939710387301,0.48444444444444446
AG,16,F3_VOL,linear_qr,9,225,0.0011333908929357487,-8.743937062352621e-05,0.000796336892571,0.52
AG,16,F3_VOL,linear_qr,10,225,0.0027295098165762708,0.0020709022937752336,0.0023772743871454,0.5955555555555555
AG,16,F3_VOL,gbr_quantile,1,225,-0.009614018291134101,-0.0024716208187329325,-0.0020233284693682,0.4533333333333333
AG,16,F3_VOL,gbr_quantile,2,225,-0.005985853282504061,0.00029934890796771003,-0.0022838728272236,0.4622222222222222
AG,16,F3_VOL,gbr_quantile,3,225,-0.004542692208113816,0.0010326779969986536,0.0002861435029182,0.5155555555555555
AG,16,F3_VOL,gbr_quantile,4,225,-0.0033868901212544917,0.0010391804001693842,0.0004305969986256,0.5244444444444445
AG,16,F3_VOL,gbr_quantile,5,225,-0.002423172772046675,0.003361672632421433,0.0029295151528727,0.5688888888888889
AG,16,F3_VOL,gbr_quantile,6,225,-0.0016822596313732581,0.0007540154348107171,-6.16503807106081e-05,0.49777777777777776
AG,16,F3_VOL,gbr_quantile,7,225,-0.0009761271096528437,0.0009650677919511513,-0.0007224998809083,0.48444444444444446
AG,16,F3_VOL,gbr_quantile,8,225,-0.000275308883500234,-0.0012585108208267141,0.0,0.49777777777777776
AG,16,F3_VOL,gbr_quantile,9,225,0.0005809676130707117,-0.000680842049883486,-0.0002457304349507,0.49777777777777776
AG,16,F3_VOL,gbr_quantile,10,225,0.002407839243268262,0.00012988285754410973,0.0005557099337229,0.5111111111111111
CU,4,F1_DIRECTION,linear_qr,1,225,-0.0004044511425288962,-3.7859166507610845e-05,0.0,0.48
CU,4,F1_DIRECTION,linear_qr,2,225,-0.00023635086899019805,0.00010953117271624451,-9.416639208424118e-05,0.47555555555555556
CU,4,F1_DIRECTION,linear_qr,3,225,-0.00014629447757948867,-1.8172539262261962e-05,0.0,0.49777777777777776
CU,4,F1_DIRECTION,linear_qr,4,225,-7.26621495409427e-05,-6.1903155117757135e-06,-9.454029787238918e-05,0.4666666666666667
CU,4,F1_DIRECTION,linear_qr,5,225,-7.0898486617760114e-06,-0.00025399135132580456,-9.57075178985267e-05,0.48444444444444446
CU,4,F1_DIRECTION,linear_qr,6,225,6.439132410214844e-05,9.578635033920736e-05,9.704498042457962e-05,0.5155555555555555
CU,4,F1_DIRECTION,linear_qr,7,225,0.00013342168004488918,-5.2609581035079815e-05,0.000277302770183,0.5066666666666667
CU,4,F1_DIRECTION,linear_qr,8,225,0.00021687177284839017,0.00015532769193777194,0.0,0.49333333333333335
CU,4,F1_DIRECTION,linear_qr,9,225,0.0003200474027205923,0.0002702484108854702,9.611225919255885e-05,0.5244444444444445
CU,4,F1_DIRECTION,linear_qr,10,225,0.0005205090861422793,0.0002395329869985801,9.286344437188386e-05,0.5022222222222222
CU,4,F1_DIRECTION,gbr_quantile,1,225,-0.00038744468303566814,4.5583905477726036e-05,9.191598885106e-05,0.5022222222222222
CU,4,F1_DIRECTION,gbr_quantile,2,225,-0.00020698696949291765,9.477183726190868e-05,0.0,0.49777777777777776
CU,4,F1_DIRECTION,gbr_quantile,3,225,-0.00011830211167658154,0.00024385454164442346,0.0001841451068641,0.5066666666666667
CU,4,F1_DIRECTION,gbr_quantile,4,225,-5.901132667799921e-05,6.273825912008396e-05,9.453136084925852e-05,0.5066666666666667
CU,4,F1_DIRECTION,gbr_quantile,5,225,5.08620675397613e-06,-0.00013770915203157932,-0.0001902949577578,0.4533333333333333
CU,4,F1_DIRECTION,gbr_quantile,6,225,7.86197726204252e-05,5.163088957599965e-05,0.0,0.4888888888888889
CU,4,F1_DIRECTION,gbr_quantile,7,225,0.0001549961487683352,0.00027134306442670785,0.0001847404402076,0.5377777777777778
CU,4,F1_DIRECTION,gbr_quantile,8,225,0.00025099140750625904,-0.00021182642231959664,0.0,0.49777777777777776
CU,4,F1_DIRECTION,gbr_quantile,9,225,0.00037278150590508874,5.85984333121623e-05,0.0,0.48444444444444446
CU,4,F1_DIRECTION,gbr_quantile,10,225,0.000692436319441817,2.2618302766905178e-05,-0.0001925298427202,0.4711111111111111
CU,4,F2_ACTIVITY,linear_qr,1,225,-0.0003887172615130167,-3.794790406154425e-05,0.0,0.48444444444444446
CU,4,F2_ACTIVITY,linear_qr,2,225,-0.00023614700347313034,0.0001336887637862735,9.453136084925852e-05,0.5066666666666667
CU,4,F2_ACTIVITY,linear_qr,3,225,-0.00014686625631078661,0.00018184850933873674,0.0001843657822331,0.52
CU,4,F2_ACTIVITY,linear_qr,4,225,-7.878003504182342e-05,-0.00041185954600751404,-0.000277328404828,0.4488888888888889
