instrument,horizon,feature_set,model,quantile,oos_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,positive_skill_fold_share,median_fold_skill
AL,8,F1_DIRECTION,gbr_quantile,0.1,2250,0.0008164498931523594,0.0008029635330962885,-0.016795731686676252,0.08222222222222222,-0.01777777777777778,0.6,0.003532219090294997
AL,8,F1_DIRECTION,gbr_quantile,0.5,2250,0.0014175174822140524,0.0014020826476605316,-0.011008505510909039,0.45066666666666666,-0.04933333333333334,0.2,-0.00847031916399188
AL,8,F1_DIRECTION,gbr_quantile,0.9,2250,0.0006630663623872697,0.0006638187698208237,0.001133453086536007,0.9133333333333333,0.013333333333333308,0.6,0.008236315072204903
AL,8,F2_ACTIVITY,linear_qr,0.1,2250,0.0008276031055900132,0.0008029635330962885,-0.030685792664472133,0.06844444444444445,-0.03155555555555556,0.4,-0.019037730399048547
AL,8,F2_ACTIVITY,linear_qr,0.5,2250,0.0014181170274376374,0.0014020826476605316,-0.011436115983505246,0.4457777777777778,-0.05422222222222223,0.2,-0.0013882270694851595
AL,8,F2_ACTIVITY,linear_qr,0.9,2250,0.0006648336891885475,0.0006638187698208237,-0.0015289103199020992,0.916,0.016000000000000014,0.4,-0.006638996104987971
AL,8,F2_ACTIVITY,gbr_quantile,0.1,2250,0.0008118546626749541,0.0008029635330962885,-0.011072893365880132,0.08533333333333333,-0.014666666666666675,0.6,0.013822966936932524
AL,8,F2_ACTIVITY,gbr_quantile,0.5,2250,0.0014199980289621658,0.0014020826476605316,-0.012777692764065929,0.44622222222222224,-0.05377777777777776,0.2,-0.008947565754726439
AL,8,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0006690256483610492,0.0006638187698208237,-0.007843825418842654,0.9168888888888889,0.016888888888888842,0.4,-0.007675024092124394
AL,8,F3_VOL,linear_qr,0.1,2250,0.0008414158628870893,0.0008029635330962885,-0.04788801509145224,0.07422222222222222,-0.02577777777777779,0.4,-0.01634322468388394
AL,8,F3_VOL,linear_qr,0.5,2250,0.0014252572089799812,0.0014020826476605316,-0.016528669945468533,0.44533333333333336,-0.05466666666666664,0.2,-0.013303463116163039
AL,8,F3_VOL,linear_qr,0.9,2250,0.0006700320644514281,0.0006638187698208237,-0.009359926101941252,0.9137777777777778,0.013777777777777778,0.2,-0.011343743507746584
AL,8,F3_VOL,gbr_quantile,0.1,2250,0.0008122367160862696,0.0008029635330962885,-0.01154869755320398,0.08133333333333333,-0.01866666666666668,0.6,0.0008333219402805181
AL,8,F3_VOL,gbr_quantile,0.5,2250,0.001431689585556933,0.0014020826476605316,-0.021116399911091266,0.448,-0.05199999999999999,0.2,-0.010632263023889532
AL,8,F3_VOL,gbr_quantile,0.9,2250,0.0006735299845700206,0.0006638187698208237,-0.014629316299414441,0.9177777777777778,0.01777777777777778,0.2,-0.015749433988430095
AL,16,F1_DIRECTION,linear_qr,0.1,2250,0.001276502528088732,0.0012674887032043426,-0.007111562305526897,0.07155555555555555,-0.028444444444444453,0.4,-0.004923400728613192
AL,16,F1_DIRECTION,linear_qr,0.5,2250,0.0020813958001297053,0.0020528753192337406,-0.013892943535708913,0.42844444444444446,-0.07155555555555554,0.6,0.005723948388159705
AL,16,F1_DIRECTION,linear_qr,0.9,2250,0.0009073347560869382,0.0008856373300007,-0.024499222595123715,0.9128888888888889,0.012888888888888839,0.0,-0.013896180246326661
AL,16,F1_DIRECTION,gbr_quantile,0.1,2250,0.0012784853498704865,0.0012674887032043426,-0.008675932683536614,0.08711111111111111,-0.012888888888888894,0.6,0.03212831456522969
AL,16,F1_DIRECTION,gbr_quantile,0.5,2250,0.002102333073868584,0.0020528753192337406,-0.024091942735861904,0.44133333333333336,-0.058666666666666645,0.2,-0.014436867202491044
AL,16,F1_DIRECTION,gbr_quantile,0.9,2250,0.0009096661558615479,0.0008856373300007,-0.027131676869163623,0.9177777777777778,0.01777777777777778,0.2,-0.01153421652006581
