group,horizon,feature_set,model,instrument_count,median_q10_skill,positive_q10_share,median_q50_skill,positive_q50_share,median_q90_skill,positive_q90_share,median_tail_skill,positive_tail_share,median_mean_skill,positive_mean_share,median_interval_skill,positive_interval_share,median_abs_coverage_error,median_q50_monotonicity,positive_q50_mono_share,median_width_path_monotonicity,positive_width_path_mono_share
DRIVER_DIVERSE_HOLDOUT,4,F1_DIRECTION,linear_qr,5,-0.011114179262496027,0.0,-0.0009665265948517465,0.2,-0.002679216351751501,0.2,-0.007077707639607078,0.0,-0.006812866727540372,0.0,-0.006682711100031602,0.0,0.02400000000000002,0.5215116512688716,1.0,0.7454545454545454,1.0
DRIVER_DIVERSE_HOLDOUT,4,F2_ACTIVITY,gbr_quantile,5,0.0013715729359224937,0.8,-0.010293449113937037,0.0,0.0046946406797069296,0.6,0.006389670449029494,0.8,0.00035579937236847786,0.6,0.006327464099440516,0.8,0.022222222222222143,-0.32121212121212117,0.4,0.9636363636363635,1.0
DRIVER_DIVERSE_HOLDOUT,4,F2_ACTIVITY,linear_qr,5,-0.015506395266886575,0.0,-0.0028155727312910717,0.2,-0.003267401609241549,0.2,-0.01320003332667219,0.2,-0.008460235648559059,0.0,-0.008644768293268656,0.2,0.02385402759234534,0.3374487155269168,0.8,0.9030303030303028,1.0
DRIVER_DIVERSE_HOLDOUT,4,F3_VOL,gbr_quantile,5,-0.0013457795808504702,0.4,-0.010585406235709138,0.0,0.013857792174832517,1.0,0.008225219871583589,0.8,0.0019550111691526797,0.6,0.008290091565805069,0.8,0.02444444444444438,-0.12766016417281356,0.4,0.9878787878787878,1.0
DRIVER_DIVERSE_HOLDOUT,4,F3_VOL,linear_qr,5,-0.017553425519672095,0.0,-0.0038090806684523137,0.0,-0.0005019919106878934,0.4,-0.008063981823963007,0.0,-0.006645681438792776,0.0,-0.0044739730292162605,0.0,0.028000000000000025,0.2553203283456271,0.8,0.9272727272727272,1.0
DRIVER_DIVERSE_HOLDOUT,8,F1_DIRECTION,gbr_quantile,5,-0.005547030382214269,0.2,-0.011674024080959855,0.0,-0.0057916857909494635,0.2,-0.004228127512688751,0.0,-0.006120500562432962,0.0,-0.005677970086630513,0.0,0.029333333333333322,0.1565900178643122,0.8,0.7939393939393938,1.0
DRIVER_DIVERSE_HOLDOUT,8,F1_DIRECTION,linear_qr,5,-0.012486507948318737,0.0,-0.0011047078410608702,0.2,-0.006319664384836887,0.0,-0.008160898005529438,0.0,-0.005808834617373249,0.0,-0.008046010782297275,0.0,0.02399999999999991,0.5315095895586142,0.6,0.22424242424242422,0.6
DRIVER_DIVERSE_HOLDOUT,8,F2_ACTIVITY,gbr_quantile,5,-0.007147089361050574,0.2,-0.011792570878996989,0.0,-0.00582887292827583,0.0,-0.008053127011966477,0.0,-0.00798477980442073,0.0,-0.008081516562410185,0.0,0.023555555555555552,0.19999999999999998,0.6,0.8909090909090909,1.0
DRIVER_DIVERSE_HOLDOUT,8,F2_ACTIVITY,linear_qr,5,-0.01723747406317022,0.0,-0.006398785797775641,0.2,-0.018394113489724973,0.0,-0.017815793776447597,0.0,-0.014345305577138756,0.0,-0.016234768198843952,0.0,0.02376502002670222,0.5627748595326502,0.8,0.34545454545454546,0.6
DRIVER_DIVERSE_HOLDOUT,8,F3_VOL,gbr_quantile,5,-0.007107824979107891,0.4,-0.010141057481790394,0.0,-0.004369413243491493,0.2,-0.005738619111299692,0.4,-0.007219009971220085,0.0,-0.005726471305840253,0.2,0.015999999999999903,0.29179466096643103,0.8,0.8545454545454544,1.0
DRIVER_DIVERSE_HOLDOUT,8,F3_VOL,linear_qr,5,-0.022668589285393503,0.2,-0.008330176944569168,0.0,-0.02126535146684816,0.0,-0.023608757371223033,0.0,-0.01742137256560361,0.0,-0.015472565975806596,0.0,0.02251891410769924,0.43146072564169846,0.8,0.5030303030303029,1.0
DRIVER_DIVERSE_HOLDOUT,16,F1_DIRECTION,gbr_quantile,5,-0.022435118637585738,0.2,-0.017292733336882637,0.0,-0.009616169963669652,0.2,-0.013899021076209217,0.2,-0.01503025849643369,0.0,-0.013855678232108204,0.2,0.02577777777777779,0.34545454545454546,1.0,0.49090909090909085,0.6
DRIVER_DIVERSE_HOLDOUT,16,F1_DIRECTION,linear_qr,5,-0.019747402910605727,0.0,-0.0010446773277559274,0.2,-0.021288119698488872,0.0,-0.021386063226466856,0.0,-0.01174308652642623,0.0,-0.020648827162099037,0.0,0.011743772241992967,0.5315095895586142,0.8,0.309090909090909,0.6
DRIVER_DIVERSE_HOLDOUT,16,F2_ACTIVITY,gbr_quantile,5,-0.0226892408385988,0.2,-0.01769312687618152,0.0,-0.0045132476227784935,0.0,-0.02137807192642316,0.2,-0.01946377209156765,0.0,-0.021423052751575966,0.2,0.033777777777777684,0.4194548251392446,0.8,0.6242424242424242,0.6
DRIVER_DIVERSE_HOLDOUT,16,F2_ACTIVITY,linear_qr,5,-0.024828394569088585,0.0,-0.003534569468053528,0.2,-0.030346836093597673,0.2,-0.02970174675194892,0.0,-0.01770231987696987,0.0,-0.02168241232299173,0.0,0.012851405622489986,0.3696969696969697,1.0,-0.17575757575757575,0.4
DRIVER_DIVERSE_HOLDOUT,16,F3_VOL,gbr_quantile,5,-0.012542126834326872,0.2,-0.013781172368743322,0.0,-0.0038074345291378986,0.2,-0.01804912894084354,0.2,-0.0151959227699671,0.2,-0.01808695374463687,0.2,0.02444444444444449,0.3939393939393939,1.0,0.7333333333333332,0.8
DRIVER_DIVERSE_HOLDOUT,16,F3_VOL,linear_qr,5,-0.02769968874904727,0.0,-0.01412607245052322,0.2,-0.029817373084962462,0.2,-0.029118710387341595,0.0,-0.017169588776717298,0.0,-0.02284616099447212,0.0,0.015528781793842095,0.5092407888860745,1.0,0.1515151515151515,0.8
