instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range,q10_pinball_skill,q50_pinball_skill,q90_pinball_skill,mean_pinball_skill,tail_pinball_skill,abs_interval_coverage_error
CU,16,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8702222222222222,0.022392205100916517,0.022006064201515917,-0.017547022305515192,0.07992202869562677,0.5355555555555556,0.2,-0.0036237981909037487,0.7575757575757575,0.0014458546033113,0.29696969696969694,0.9515151515151514,0.0036478022233076,-0.013822431966402648,-0.00011870791438717276,-0.021288119698488872,-0.01174308652642623,-0.01755527583244576,0.07022222222222219
CU,16,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8591111111111112,0.02202716802137714,0.022006064201515917,-0.0009590001950356974,0.06479842590519863,0.5324444444444445,0.8,0.01163729908265354,0.4545454545454545,-6.478052552609992e-05,-0.07878787878787878,0.8666666666666665,0.0025537647186482998,-0.01396267249308547,-0.005148568762510131,0.012102303224686861,-0.00233631267696958,-0.0009301846341993047,0.059111111111111114
CU,16,F2_ACTIVITY,linear_qr,2250,0.0026666666666666666,0.9973333333333333,0.8685383244206774,0.02246529504134365,0.022015195501533857,-0.020444948571019195,0.08185181368546303,0.5364444444444444,0.2,-0.011247062569491817,0.6,0.0018294092700541001,0.2121212121212121,0.5757575757575757,0.002033751581846599,-0.017351623919543258,-0.003534569468053528,-0.026627873599105012,-0.015838022328900598,-0.021989748759324135,0.06853832442067731
CU,16,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8484444444444444,0.022477501275759558,0.022006064201515917,-0.021423052751575966,0.058271347410738916,0.5262222222222223,0.4,-0.006698142283283026,0.8303030303030302,0.0007652864265013318,-0.07878787878787878,0.6969696969696969,0.0005794061513183998,-0.0417216654804915,-0.01769312687618152,-0.001034478372354819,-0.020149756909675947,-0.02137807192642316,0.0484444444444444
CU,16,F3_VOL,linear_qr,2250,0.0022222222222222222,0.9977777777777778,0.8708240534521158,0.02249643707956793,0.022013576528519714,-0.021934670653023902,0.08343142058608907,0.5342222222222223,0.2,-0.010955935196892419,0.5272727272727272,0.0018238110597947003,0.3696969696969697,0.7939393939393938,0.0033407933540301003,-0.023226735734842352,-0.003180512586177686,-0.023987719912286654,-0.016798322744435563,-0.023607227823564503,0.07082405345211573
CU,16,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8475555555555555,0.022446435262138808,0.022006064201515917,-0.020011350352806545,0.06761497791080506,0.5351111111111111,0.4,-0.00421426340802511,0.8181818181818182,0.0011499235548121276,0.1515151515151515,0.9030303030303028,0.0008906366612628997,-0.043568355628816,-0.010647414895189833,0.0036500574801259233,-0.016855237681293305,-0.01995914907434504,0.04755555555555546
AL,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8435555555555555,0.010242512531937295,0.010227903285392597,-0.0014283715965093258,0.06316646784370598,0.5155555555555555,0.4,-0.0009020327090407676,0.34139437099945946,0.0006280749709241,0.5030303030303029,0.7575757575757575,0.0004364206005199995,-0.005793151645391292,-0.0014801760721518953,0.003421868593760591,-0.0012838197079275322,-0.0011856415258153508,0.04355555555555546
AL,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8293333333333334,0.009902857129132522,0.010227903285392597,0.031780331431594866,0.045399304770438326,0.5173333333333333,1.0,0.03631691828541561,0.21885688981825283,0.00023102567442710001,0.9393939393939393,0.9151515151515152,0.0030755090575145002,0.029368852070866147,-0.00741932249826549,0.03446002066734677,0.01880318341331581,0.03191443636910646,0.029333333333333322
AL,4,F2_ACTIVITY,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8437917222963952,0.01024272018355202,0.010232257074598202,-0.0010225611883609709,0.052090436124560276,0.5128888888888888,0.4,-0.0018747988265315207,0.32515880772997563,0.00040734849120609997,0.8666666666666665,0.9757575757575757,0.0009556082070411001,-0.007215272547087759,-0.004872540960043192,0.0018328650972092575,-0.0034183161366405646,-0.0026912037249392506,0.043791722296395164
AL,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8208888888888889,0.009988974830298113,0.010227903285392597,0.023360453108284607,0.042666864251180596,0.5093333333333333,1.0,0.014517297015711694,0.43146072564169846,0.0002091653339019,0.9393939393939393,0.9515151515151514,0.0028985983353507997,0.018857118520315574,-0.008439304250267732,0.02836465816883349,0.012927490812960444,0.023610888344574532,0.020888888888888846
