n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity,fold
371,-7.255015772028958e-05,0.00012337301088871655,0.5336927223719676,0.00118388846964258,-0.001472609654821376,AG,H5,FADE,ALL,6
159,-4.821668012986013e-05,6.131207480830625e-05,0.5094339622641509,0.001501814618280247,-0.0016937780734599785,AG,H5,FADE,TOP30,6
375,0.0001965344573719543,-8.29118579745991e-05,0.48,0.002762132634205775,-0.0023768562050025103,AG,H15,FOLLOW,ALL,0
291,8.766527421327526e-05,-0.00032711806873075844,0.44329896907216493,0.0027821439003025616,-0.002602220085028714,AG,H15,FOLLOW,TOP30,0
375,-0.0001965344573719543,8.29118579745991e-05,0.512,0.0023768562050025103,-0.002762132634205775,AG,H15,FADE,ALL,0
291,-8.766527421327526e-05,0.00032711806873075844,0.5463917525773195,0.002602220085028714,-0.0027821439003025616,AG,H15,FADE,TOP30,0
375,0.0014534524084484348,0.00018243181610877457,0.5146666666666667,0.006228972542714815,-0.004309687339568722,AG,H15,FOLLOW,ALL,1
362,0.0015800476206201189,0.00020089509642839953,0.5165745856353591,0.0063439967205171435,-0.004292859577749547,AG,H15,FOLLOW,TOP30,1
375,-0.0014534524084484348,-0.00018243181610877457,0.48,0.004309687339568722,-0.006228972542714815,AG,H15,FADE,ALL,1
362,-0.0015800476206201189,-0.00020089509642839953,0.47790055248618785,0.004292859577749547,-0.0063439967205171435,AG,H15,FADE,TOP30,1
375,9.566736546516215e-05,-0.0004409819197412901,0.4613333333333333,0.005770679555761434,-0.005157459084024378,AG,H15,FOLLOW,ALL,2
356,0.00012022647776715991,-0.00043953941338858993,0.46348314606741575,0.005986599055046052,-0.005323323377284384,AG,H15,FOLLOW,TOP30,2
375,-9.566736546516215e-05,0.0004409819197412901,0.536,0.005157459084024378,-0.005770679555761434,AG,H15,FADE,ALL,2
356,-0.00012022647776715991,0.00043953941338858993,0.5337078651685393,0.005323323377284384,-0.005986599055046052,AG,H15,FADE,TOP30,2
375,0.0002247661615199862,-0.00010103051121435058,0.4693333333333333,0.00308952997727793,-0.0025651488504501493,AG,H15,FOLLOW,ALL,3
257,0.00012412117508984465,-0.000316105579263537,0.46303501945525294,0.00334040236910853,-0.002941582917133598,AG,H15,FOLLOW,TOP30,3
375,-0.0002247661615199862,0.00010103051121435058,0.5173333333333333,0.0025651488504501493,-0.00308952997727793,AG,H15,FADE,ALL,3
257,-0.00012412117508984465,0.000316105579263537,0.5369649805447471,0.002941582917133598,-0.00334040236910853,AG,H15,FADE,TOP30,3
375,-0.00025935400566812563,-0.0005978000258501925,0.4026666666666667,0.0028710047994253076,-0.0027394211808937897,AG,H15,FOLLOW,ALL,4
236,-7.615617509068866e-05,-0.0006160336439914316,0.4194915254237288,0.003506718995770899,-0.0031252960858438768,AG,H15,FOLLOW,TOP30,4
375,0.00025935400566812563,0.0005978000258501925,0.5786666666666667,0.0027394211808937897,-0.0028710047994253076,AG,H15,FADE,ALL,4
236,7.615617509068866e-05,0.0006160336439914316,0.5635593220338984,0.0031252960858438768,-0.003506718995770899,AG,H15,FADE,TOP30,4
375,0.00019479217384711916,-0.00014017380593711604,0.45866666666666667,0.00301437153502292,-0.0023547970021821937,AG,H15,FOLLOW,ALL,5
198,0.00022536370974629965,0.0,0.494949494949495,0.003605639806291391,-0.0028314554467580907,AG,H15,FOLLOW,TOP30,5
375,-0.00019479217384711916,0.00014017380593711604,0.528,0.0023547970021821937,-0.00301437153502292,AG,H15,FADE,ALL,5
198,-0.00022536370974629965,0.0,0.4898989898989899,0.0028314554467580907,-0.003605639806291391,AG,H15,FADE,TOP30,5
369,9.549204238759052e-05,-0.0002514774144609655,0.43902439024390244,0.0024513894214191778,-0.00203265722425059,AG,H15,FOLLOW,ALL,6
159,1.0610961086260537e-05,-0.000556379788369199,0.4339622641509434,0.0029250313877654845,-0.0025834203968413266,AG,H15,FOLLOW,TOP30,6
369,-9.549204238759052e-05,0.0002514774144609655,0.5447154471544715,0.00203265722425059,-0.0024513894214191778,AG,H15,FADE,ALL,6
159,-1.0610961086260537e-05,0.000556379788369199,0.559748427672956,0.0025834203968413266,-0.0029250313877654845,AG,H15,FADE,TOP30,6
416,6.211737217892219e-05,-5.208469345618916e-05,0.46875,0.0007289480824959669,-0.0006199416329785675,AU,H5,FOLLOW,ALL,0
144,-5.2813490573191184e-05,-0.00012374343471122096,0.4375,0.0007035377217229124,-0.0006735301498963107,AU,H5,FOLLOW,TOP30,0
416,-6.211737217892219e-05,5.208469345618916e-05,0.5288461538461539,0.0006199416329785675,-0.0007289480824959669,AU,H5,FADE,ALL,0
144,5.2813490573191184e-05,0.00012374343471122096,0.5625,0.0006735301498963107,-0.0007035377217229124,AU,H5,FADE,TOP30,0
416,7.608092372320931e-05,-3.570568623612047e-05,0.47596153846153844,0.0011100686830247185,-0.000995930721190068,AU,H5,FOLLOW,ALL,1
204,0.00020493463311843814,3.7202515142165105e-05,0.5098039215686274,0.001512537790668735,-0.0012775899194569968,AU,H5,FOLLOW,TOP30,1
