instrument,horizon,features,stratum,learner,n,up_rate,auc,brier_skill,logloss_skill,calibration_slope,return_spread,mfe_up_top20,folds_evaluated
CU,H5,P1,ALL,logistic,14350,0.4850871080139373,0.5133721937716561,-0.0018179806964979672,-0.0013768632279993476,0.045016763492262774,3.2538727171687474e-05,0.0008829418827564084,7
CU,H5,P1,ALL,gbr,14350,0.4850871080139373,0.5241694397389753,0.0002654706748750346,0.0001687511183888768,0.14450310614342313,8.294910764720001e-05,0.0010008987987675593,7
CU,H5,P1,TOP50,logistic,10957,0.48991512275257826,0.5057306319977579,-0.0027873201315193885,-0.002075915044104759,-0.034144862828936896,3.3813892024348683e-06,0.0009695306903178323,7
CU,H5,P1,TOP50,gbr,10957,0.48991512275257826,0.5149549266322847,-0.0026787589027441605,-0.0019923754125408255,0.07200629934716006,8.144071086909085e-05,0.0010494021928008574,7
CU,H5,P1,TOP30,logistic,6804,0.49176954732510286,0.4922704077311307,-0.0042964338954707415,-0.0031440106995617167,-0.08702607801617893,-7.935527434092575e-05,0.0011980083887000964,7
CU,H5,P1,TOP30,gbr,6804,0.49176954732510286,0.5030432649742431,-0.007185292331690407,-0.005276444893243859,0.008460725799003026,7.180617888170812e-05,0.0011994772162459803,7
CU,H5,P1,TOP20,logistic,4848,0.5045379537953796,0.4910227440610611,-0.006121263424988532,-0.004505269508867649,-0.08664151058639084,-9.994992103277765e-06,0.0013973605112179153,7
CU,H5,P1,TOP20,gbr,4848,0.5045379537953796,0.4893766982134675,-0.015559662259912344,-0.011529232353274077,-0.047625553468558034,-1.6827192500174228e-05,0.001356843500999857,7
CU,H5,P2,ALL,logistic,13559,0.48447525628733684,0.5124139894083517,-0.0014917723893994594,-0.0011113065070362804,0.10049141107782901,2.9965707531491147e-05,0.000779777757058691,7
CU,H5,P2,ALL,gbr,13559,0.48447525628733684,0.5262398211045028,0.000565163183790296,0.00038299217388415574,0.15282470175627882,9.621386755712744e-05,0.0009463970300165732,7
CU,H5,P2,TOP50,logistic,10298,0.4897067391726549,0.5070193104288844,-0.0021684983575138705,-0.0015951656273671677,0.04802693880914167,2.6818055241703203e-05,0.0008566463541348361,7
CU,H5,P2,TOP50,gbr,10298,0.4897067391726549,0.5143994190400236,-0.0024705029020444247,-0.0018432025457311152,0.08344929994247456,9.162651905922483e-05,0.0010590167333376153,7
CU,H5,P2,TOP30,logistic,6428,0.49082140634723087,0.5002367252984244,-0.00495373927696674,-0.00362379644494748,-0.016306383253364417,1.609052297322802e-05,0.0010589099525040886,7
CU,H5,P2,TOP30,gbr,6428,0.49082140634723087,0.5067334281396606,-0.006756913568638501,-0.004969855265025469,0.03288822892330598,0.00010134692488729367,0.001105826465147486,7
CU,H5,P2,TOP20,logistic,4586,0.5026166593981684,0.49623438363316313,-0.007349073806559803,-0.0054030937822378,-0.04116899753986253,-5.1514481426330924e-05,0.0012129262953816337,7
CU,H5,P2,TOP20,gbr,4586,0.5026166593981684,0.4937043824254118,-0.017407442908974335,-0.012929046270421685,-0.033073411735081396,5.3525954970052356e-05,0.001260701655887626,7
