horizon,feature_set,model,fold,train_rows,test_rows,purge_rows,train_end_time,test_start_time,test_end_time,oos_r2_vs_hist_mean,mae,rmse,pearson_ic,spearman_ic,sign_accuracy_raw
8,stats_15m_1h,hgb,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.11597733934841559,0.9872339155803134,1.493205484936944,-0.0999317932219274,-0.06196445316350686,0.49066666666666664
8,stats_15m_1h,hgb,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,-0.08728033761803289,1.0605843912053883,1.538815590693106,-0.05530305743294831,-0.05196602998198685,0.4693333333333333
8,stats_15m_1h,hgb,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,-0.028147544005096004,0.9384696950883649,1.3317071993705236,0.03814474186766612,0.025244807059993685,0.49066666666666664
8,stats_15m_1h,hgb,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.06515935372188264,0.9238299097674204,1.2988059311206206,0.013236068255200864,-0.01356366117034528,0.508
8,stats_15m_1h,hgb,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,-0.022874763993694147,1.0401509914036806,1.5390064535985573,0.01766359497402627,-0.0415823195351604,0.4693333333333333
8,stats_15m_1h,hgb,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.013434546159520888,0.8297816255389524,1.1791373164343608,0.08818566107342603,0.04576168699795937,0.5118790496760259
8,stats_15m_1h_4h,ridge,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.36314450701541623,1.270143512337491,1.7163224635078005,0.06293547179246697,0.09763486157308722,0.5026666666666667
8,stats_15m_1h_4h,ridge,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.30229220875020935,1.5703753376982386,2.9594530785869244,-0.10522402066196858,-0.04909445134530607,0.5453333333333333
8,stats_15m_1h_4h,ridge,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.03311864411844745,1.05030780027911,1.6147249832764445,0.017735571295120493,0.019501901336713486,0.5133333333333333
8,stats_15m_1h_4h,ridge,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.03219543522738433,0.9890648767190596,1.4360608928933227,0.05330495516367542,0.027585969041722735,0.5253333333333333
