wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF2,M_ID,MA,1218,0.5246,0.6223,0.4972
WF2,M_ID,NI,811,0.5536,0.5166,0.5
WF2,M_ID,P,971,0.521,0.6292,0.5
WF2,M_ID,RB,1728,0.5152,0.5735,0.5
WF2,M_ID,RU,1075,0.4666,0.5898,0.5045
WF2,M_ID,SC,967,0.51,0.5988,0.5
WF2,M_ID,SN,604,0.5164,0.6474,0.5
WF2,M_ID,TA,1030,0.4957,0.5951,0.5036
WF2,M_GLOBAL2,AG,651,0.5091,0.6252,0.4972
WF2,M_GLOBAL2,AL,893,0.6149,0.589,0.5071
WF2,M_GLOBAL2,AU,688,0.5632,0.5959,0.5
WF2,M_GLOBAL2,CF,1294,0.55,0.6028,0.5162
WF2,M_GLOBAL2,CU,749,0.5439,0.5674,0.495
WF2,M_GLOBAL2,I,2100,0.579,0.5352,0.5046
WF2,M_GLOBAL2,M,1484,0.6051,0.5863,0.5015
WF2,M_GLOBAL2,MA,1218,0.6084,0.6248,0.5018
WF2,M_GLOBAL2,NI,811,0.5921,0.5179,0.5013
WF2,M_GLOBAL2,P,971,0.6009,0.6292,0.5
WF2,M_GLOBAL2,RB,1728,0.6013,0.5741,0.5007
WF2,M_GLOBAL2,RU,1075,0.5495,0.5879,0.5032
WF2,M_GLOBAL2,SC,967,0.5885,0.5988,0.5009
WF2,M_GLOBAL2,SN,604,0.6299,0.649,0.5023
WF2,M_GLOBAL2,TA,1030,0.6247,0.5893,0.5012
WF2,M_GLOBAL4,AG,651,0.628,0.6467,0.5733
WF2,M_GLOBAL4,AL,893,0.6665,0.6204,0.5632
WF2,M_GLOBAL4,AU,688,0.6891,0.6759,0.6128
WF2,M_GLOBAL4,CF,1294,0.6183,0.5997,0.5507
WF2,M_GLOBAL4,CU,749,0.6637,0.6222,0.5856
WF2,M_GLOBAL4,I,2100,0.6081,0.56,0.5442
WF2,M_GLOBAL4,M,1484,0.6181,0.6152,0.5553
WF2,M_GLOBAL4,MA,1218,0.6249,0.6026,0.5276
WF2,M_GLOBAL4,NI,811,0.6343,0.5857,0.5747
WF2,M_GLOBAL4,P,971,0.6385,0.6426,0.5426
WF2,M_GLOBAL4,RB,1728,0.6069,0.588,0.529
WF2,M_GLOBAL4,RU,1075,0.6368,0.5916,0.5371
WF2,M_GLOBAL4,SC,967,0.6355,0.6236,0.5696
WF2,M_GLOBAL4,SN,604,0.6573,0.6805,0.5897
WF2,M_GLOBAL4,TA,1030,0.6378,0.6408,0.5951
WF2,M_SCOPE12,AG,651,0.3951,0.6344,0.5114
WF2,M_SCOPE12,AL,893,0.5837,0.6013,0.5277
WF2,M_SCOPE12,AU,688,0.5393,0.5988,0.5042
WF2,M_SCOPE12,CF,1294,0.5513,0.5564,0.4982
WF2,M_SCOPE12,CU,749,0.5818,0.5781,0.5176
WF2,M_SCOPE12,I,2100,0.4966,0.5095,0.4892
WF2,M_SCOPE12,M,1484,0.5817,0.5822,0.5104
WF2,M_SCOPE12,MA,1218,0.5266,0.6108,0.5102
WF2,M_SCOPE12,NI,811,0.5915,0.5191,0.5027
WF2,M_SCOPE12,P,971,0.5956,0.6313,0.5028
WF2,M_SCOPE12,RB,1728,0.5787,0.5891,0.5213
WF2,M_SCOPE12,RU,1075,0.5185,0.5898,0.5094
WF2,M_SCOPE12,SC,967,0.5708,0.606,0.512
WF2,M_SCOPE12,SN,604,0.5592,0.6457,0.5041
WF2,M_SCOPE12,TA,1030,0.5749,0.5913,0.5199
WF2,M_GLOBAL_SCOPE,AG,651,0.568,0.6206,0.5525
WF2,M_GLOBAL_SCOPE,AL,893,0.6673,0.645,0.5955
WF2,M_GLOBAL_SCOPE,AU,688,0.6771,0.6206,0.5601
WF2,M_GLOBAL_SCOPE,CF,1294,0.6209,0.592,0.5563
WF2,M_GLOBAL_SCOPE,CU,749,0.6742,0.6262,0.5935
WF2,M_GLOBAL_SCOPE,I,2100,0.573,0.5552,0.5441
WF2,M_GLOBAL_SCOPE,M,1484,0.6223,0.5984,0.5539
WF2,M_GLOBAL_SCOPE,MA,1218,0.6088,0.5862,0.5273
WF2,M_GLOBAL_SCOPE,NI,811,0.6549,0.5549,0.5435
WF2,M_GLOBAL_SCOPE,P,971,0.6582,0.6509,0.56
WF2,M_GLOBAL_SCOPE,RB,1728,0.6223,0.5995,0.5523
WF2,M_GLOBAL_SCOPE,RU,1075,0.6201,0.6121,0.5562
WF2,M_GLOBAL_SCOPE,SC,967,0.6402,0.6205,0.5594
WF2,M_GLOBAL_SCOPE,SN,604,0.6387,0.654,0.5799
WF2,M_GLOBAL_SCOPE,TA,1030,0.6147,0.6311,0.588
WF2,M_CORE,AG,651,0.5897,0.6375,0.5668
WF2,M_CORE,AL,893,0.6831,0.6607,0.6173
WF2,M_CORE,AU,688,0.6721,0.6235,0.5649
WF2,M_CORE,CF,1294,0.6418,0.6236,0.5893
WF2,M_CORE,CU,749,0.639,0.5941,0.5518
WF2,M_CORE,I,2100,0.5794,0.5724,0.5614
WF2,M_CORE,M,1484,0.6402,0.6125,0.5724
