symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,granularity_status
ALL,fade,1.25,2.0,6,16483,0.000442,0.000546,0.000796,5m_OK
ALL,fade,1.25,2.5,6,16483,0.000265,0.000182,0.000796,5m_OK
ALL,fade,1.25,3.0,6,16483,8.8e-05,6.1e-05,0.000796,5m_OK
ALL,fade,1.5,1.0,6,16483,0.000707,0.00091,0.00053,5m_OK
ALL,fade,1.5,1.5,6,16483,0.00053,0.000728,0.00053,5m_OK
ALL,fade,1.5,2.0,6,16483,0.000265,0.000182,0.00053,5m_OK
ALL,fade,1.5,2.5,6,16483,8.8e-05,6.1e-05,0.00053,5m_OK
ALL,fade,1.5,3.0,6,16483,8.8e-05,6.1e-05,0.00053,5m_OK
ALL,fade,2.0,1.0,6,16483,0.00053,0.000607,0.0,5m_OK
ALL,fade,2.0,1.5,6,16483,0.000265,0.000182,0.0,5m_OK
ALL,fade,2.0,2.0,6,16483,8.8e-05,6.1e-05,0.0,5m_OK
ALL,fade,2.0,2.5,6,16483,0.0,0.0,0.0,5m_OK
ALL,fade,2.0,3.0,6,16483,0.0,0.0,0.0,5m_OK
ALL,fade,0.5,1.0,12,11214,0.097239,0.110844,0.000275,BORDERLINE
ALL,fade,0.5,1.5,12,11214,0.043984,0.051454,0.000275,BORDERLINE
ALL,fade,0.5,2.0,12,11214,0.023177,0.028803,0.000549,BORDERLINE
ALL,fade,0.5,2.5,12,11214,0.011228,0.01623,0.000549,5m_OK
ALL,fade,0.5,3.0,12,11214,0.006627,0.00972,0.000549,5m_OK
ALL,fade,0.75,1.0,12,11214,0.017305,0.022026,0.000824,5m_OK
ALL,fade,0.75,1.5,12,11214,0.006593,0.008739,0.000961,5m_OK
ALL,fade,0.75,2.0,12,11214,0.002198,0.003121,0.000961,5m_OK
ALL,fade,0.75,2.5,12,11214,0.000687,0.000981,0.000961,5m_OK
ALL,fade,0.75,3.0,12,11214,0.000687,0.000981,0.000961,5m_OK
ALL,fade,1.0,1.0,12,11214,0.003708,0.004994,0.000412,5m_OK
ALL,fade,1.0,1.5,12,11214,0.000961,0.001427,0.000687,5m_OK
ALL,fade,1.0,2.0,12,11214,0.000549,0.000981,0.000687,5m_OK
ALL,fade,1.0,2.5,12,11214,0.000412,0.000535,0.000687,5m_OK
ALL,fade,1.0,3.0,12,11214,0.000275,0.000178,0.000687,5m_OK
ALL,fade,1.25,1.0,12,11214,0.001373,0.003032,0.000961,5m_OK
ALL,fade,1.25,1.5,12,11214,0.000412,0.000713,0.000961,5m_OK
ALL,fade,1.25,2.0,12,11214,0.000412,0.000535,0.000961,5m_OK
ALL,fade,1.25,2.5,12,11214,0.000275,0.000178,0.000961,5m_OK
ALL,fade,1.25,3.0,12,11214,0.000137,8.9e-05,0.000961,5m_OK
ALL,fade,1.5,1.0,12,11214,0.000687,0.000981,0.000275,5m_OK
ALL,fade,1.5,1.5,12,11214,0.000549,0.000803,0.000275,5m_OK
ALL,fade,1.5,2.0,12,11214,0.000275,0.000178,0.000275,5m_OK
ALL,fade,1.5,2.5,12,11214,0.000137,8.9e-05,0.000275,5m_OK
ALL,fade,1.5,3.0,12,11214,0.000137,8.9e-05,0.000275,5m_OK
ALL,fade,2.0,1.0,12,11214,0.000275,0.000446,0.000137,5m_OK
ALL,fade,2.0,1.5,12,11214,0.000275,0.000178,0.000137,5m_OK
ALL,fade,2.0,2.0,12,11214,0.000137,8.9e-05,0.000275,5m_OK
ALL,fade,2.0,2.5,12,11214,0.0,0.0,0.000275,5m_OK
ALL,fade,2.0,3.0,12,11214,0.0,0.0,0.000275,5m_OK
ALL,fade,0.5,1.0,24,4101,0.082599,0.089003,0.000367,BORDERLINE
ALL,fade,0.5,1.5,24,4101,0.041483,0.045355,0.000367,BORDERLINE
ALL,fade,0.5,2.0,24,4101,0.022026,0.026823,0.000367,BORDERLINE
ALL,fade,0.5,2.5,24,4101,0.009545,0.014143,0.000367,5m_OK
ALL,fade,0.5,3.0,24,4101,0.004772,0.008535,0.000367,5m_OK
ALL,fade,0.75,1.0,24,4101,0.017254,0.018288,0.0,5m_OK
ALL,fade,0.75,1.5,24,4101,0.007709,0.008778,0.0,5m_OK
ALL,fade,0.75,2.0,24,4101,0.002937,0.004633,0.0,5m_OK
ALL,fade,0.75,2.5,24,4101,0.001468,0.002438,0.0,5m_OK
ALL,fade,0.75,3.0,24,4101,0.001836,0.002682,0.0,5m_OK
ALL,fade,1.0,1.0,24,4101,0.004772,0.004633,0.001101,5m_OK
ALL,fade,1.0,1.5,24,4101,0.001468,0.002438,0.001468,5m_OK
ALL,fade,1.0,2.0,24,4101,0.001101,0.001951,0.001836,5m_OK
ALL,fade,1.0,2.5,24,4101,0.001101,0.001463,0.001836,5m_OK
ALL,fade,1.0,3.0,24,4101,0.000734,0.000488,0.001836,5m_OK
ALL,fade,1.25,1.0,24,4101,0.001836,0.002926,0.002203,5m_OK
ALL,fade,1.25,1.5,24,4101,0.001101,0.001951,0.00257,5m_OK
ALL,fade,1.25,2.0,24,4101,0.001101,0.001463,0.00257,5m_OK
ALL,fade,1.25,2.5,24,4101,0.000734,0.000488,0.00257,5m_OK
ALL,fade,1.25,3.0,24,4101,0.000367,0.000244,0.00257,5m_OK
ALL,fade,1.5,1.0,24,4101,0.001468,0.002438,0.0,5m_OK
ALL,fade,1.5,1.5,24,4101,0.001468,0.002195,0.0,5m_OK
ALL,fade,1.5,2.0,24,4101,0.000734,0.000488,0.0,5m_OK
ALL,fade,1.5,2.5,24,4101,0.000367,0.000244,0.0,5m_OK
ALL,fade,1.5,3.0,24,4101,0.000367,0.000244,0.0,5m_OK
ALL,fade,2.0,1.0,24,4101,0.000734,0.001219,0.000734,5m_OK
ALL,fade,2.0,1.5,24,4101,0.000734,0.000488,0.000734,5m_OK
ALL,fade,2.0,2.0,24,4101,0.000367,0.000244,0.000734,5m_OK
ALL,fade,2.0,2.5,24,4101,0.0,0.0,0.000734,5m_OK
ALL,fade,2.0,3.0,24,4101,0.0,0.0,0.000734,5m_OK
