symbol,fold,stop_atr,target_r,mean_R_LOW,mean_R_MID,mean_R_HIGH,delta_high_low
M,0,1.25,2.0,-0.284011,-0.081042,-0.037617,0.246394
M,0,1.25,2.5,-0.286921,-0.085887,0.018938,0.305859
M,0,1.25,3.0,-0.272215,-0.054637,0.040525,0.31273999999999996
M,1,0.75,1.5,-0.296875,0.071429,0.029412,0.326287
M,1,0.75,2.0,-0.47662,0.250446,0.096522,0.573142
M,1,0.75,2.5,-0.398495,0.296718,-0.001929,0.396566
M,1,0.75,3.0,-0.477645,-0.060528,-0.148988,0.328657
M,1,1.0,1.5,-0.467417,0.091973,0.03862,0.5060370000000001
M,1,1.0,2.0,-0.491623,0.156439,-0.013159,0.478464
M,1,1.0,2.5,-0.444748,-0.00325,-0.130807,0.31394099999999997
M,1,1.0,3.0,-0.397873,-0.146107,-0.13219,0.265683
M,1,1.25,1.5,-0.336342,0.006103,-0.094304,0.24203799999999998
M,1,1.25,2.0,-0.349457,-0.107362,-0.177876,0.171581
M,1,1.25,2.5,-0.286957,-0.27025,-0.178983,0.10797400000000001
M,1,1.25,3.0,-0.239515,-0.27025,-0.178983,0.060532
M,2,0.75,1.5,0.252874,-0.328004,0.046911,-0.20596299999999998
M,2,0.75,2.0,0.352967,-0.203004,0.246911,-0.10605599999999998
M,2,0.75,2.5,0.564505,-0.287925,0.407136,-0.15736900000000004
M,2,0.75,3.0,0.444621,-0.239096,0.220458,-0.224163
M,2,1.0,1.5,0.139725,-0.285716,0.217996,0.07827100000000001
M,2,1.0,2.0,0.299522,-0.25913,0.331489,0.03196699999999997
M,2,1.0,2.5,0.203782,-0.19473,0.134745,-0.06903699999999999
M,2,1.0,3.0,0.292154,-0.156768,0.129169,-0.16298500000000002
M,2,1.25,1.5,0.333013,-0.204868,0.257198,-0.07581500000000002
M,2,1.25,2.0,0.286102,-0.106126,0.081129,-0.20497300000000002
M,2,1.25,2.5,0.403568,-0.036868,0.076668,-0.32689999999999997
M,2,1.25,3.0,0.460556,-0.0632,0.076668,-0.383888
M,3,0.75,1.5,-0.066119,-0.106738,-0.090909,-0.024790000000000006
M,3,0.75,2.0,0.121381,0.021943,-0.181818,-0.303199
M,3,0.75,2.5,0.090131,-0.041177,-0.145816,-0.23594700000000002
M,3,0.75,3.0,0.167259,-0.092202,-0.054907,-0.22216599999999997
M,3,1.0,1.5,0.25,0.099791,-0.270547,-0.520547
M,3,1.0,2.0,0.268783,-0.030883,-0.220818,-0.48960099999999995
M,3,1.0,2.5,0.283656,-0.045342,-0.129909,-0.413565
M,3,1.0,3.0,0.294941,-0.085007,-0.102961,-0.397902
M,3,1.25,1.5,0.257325,-0.083174,-0.110138,-0.36746300000000004
M,3,1.25,2.0,0.260507,-0.070932,-0.019229,-0.279736
M,3,1.25,2.5,0.275785,-0.097902,0.01142,-0.264365
M,3,1.25,3.0,0.307035,-0.074093,-0.042503,-0.349538
M,4,0.75,1.5,-0.411765,0.532258,0.180556,0.592321
M,4,0.75,2.0,-0.470588,0.760314,0.333333,0.803921
M,4,0.75,2.5,-0.478668,0.764927,0.411767,0.890435
M,4,0.75,3.0,-0.419845,0.897143,0.386684,0.806529
M,4,1.0,1.5,-0.51873,0.473462,0.25,0.76873
M,4,1.0,2.0,-0.510084,0.517289,0.369208,0.879292
M,4,1.0,2.5,-0.48628,0.648664,0.319205,0.805485
M,4,1.0,3.0,-0.456868,0.676961,0.361271,0.818139
M,4,1.25,1.5,-0.569609,0.465408,0.221762,0.791371
M,4,1.25,2.0,-0.5388,0.627798,0.218955,0.757755
M,4,1.25,2.5,-0.509388,0.619166,0.253348,0.762736
M,4,1.25,3.0,-0.479977,0.634848,0.204026,0.684003
M,5,0.75,1.5,0.428571,0.098444,0.25,-0.17857099999999998
M,5,0.75,2.0,0.142857,0.017799,0.0,-0.142857
