architecture,population,table,decile,n,weight_sum,mean_predicted,mean_actual,actual_win_rate,avg_win,avg_loss,payoff_ratio
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,7,4268,2134.0,2.068514619321532,2.1014214380859624,0.9814901593252109,2.1410519689068717,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,8,4268,2134.0,2.6976177705780993,2.901748142511214,0.9920337394564198,2.92504985173308,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,9,4269,2134.5,4.485793757144101,4.5031884489776735,0.9910986179433122,4.54363306279501,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,0,4270,2135.0,0.29068282418164143,-0.1455991755313896,0.2822014051522248,2.814785530402252,1.3094698347973075,2.149561185453311
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,1,4267,2133.5,0.3663989299609013,-0.07124286432715835,0.3386454183266932,1.9230292804696247,1.0924063119640657,1.7603608285750019
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,2,4268,2134.0,0.40947525116868294,-0.021478826690014878,0.39128397375820057,1.52920896341294,1.0182642806822915,1.5017800313964547
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,3,4268,2134.0,0.4429209459380725,-0.064212935915843,0.4208059981255858,1.1777255034089174,0.9665274330951591,1.2185122357442335
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,4,4268,2134.0,0.46809317983578225,0.024448260899954215,0.45431115276476103,1.0228382035716812,0.8067574492075933,1.2678385611144032
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,5,4268,2134.0,0.49255746775053705,0.001189384424242274,0.5058575445173383,1.0383677100850128,1.060578280393967,0.9790580566097359
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,6,4268,2134.0,0.5231459300260722,-0.011140814095479162,0.532099343955014,1.083919009192894,1.2564492060273247,0.8626843043023272
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,7,4268,2134.0,0.5609194094525446,0.06453030813726546,0.5766166822867854,1.2375683689767767,1.5330605428455997,0.8072534217596238
