architecture,population,symbol,decision_time,decision_bar,side,fold,actual_return,actual_abs_return,p_win,mu_win,mu_loss,predicted_rr,p_break_even,ev_margin,ev_c,probability_error_component,magnitude_error_component,total_ev_error,error_class
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CU,2025-09-22 22:15:00,5411,SHORT,2,-11.815717391638108,11.815717391638108,0.6485986195616467,2.431177699497822,3.402649177971402,0.7144955510656689,0.5832619392791285,0.06533668028251816,0.38116288151676825,3.78381205948817,8.413068213666707,12.196880273154877,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CF,2025-08-11 10:15:00,3330,SHORT,1,-11.762787533930855,11.762787533930855,0.7834740304353176,2.0832977802586683,5.505600901846728,0.3783960765408683,0.7254808810175475,0.05799314941777012,0.4401041351876569,5.945705037034385,6.257186632084126,12.202891669118511,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,AU,2025-10-21 09:30:00,6958,LONG,3,-11.698597502389246,11.698597502389246,0.7020756477975273,2.4504444094162965,5.71811449816409,0.4285406334908226,0.7000150899147836,0.00206055788274373,0.016831788447671636,5.734946286611762,5.980483004225156,11.715429290836918,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CU,2025-09-23 11:00:00,5429,SHORT,2,-11.682710282864448,11.682710282864448,0.6099824025261033,3.0695290126051615,2.8590974442599517,1.0736006982789905,0.48225292402243203,0.12772947850367122,0.7572603655784491,3.6163578098384006,8.823612838604497,12.439970648442898,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CF,2025-08-11 11:00:00,3332,SHORT,1,-11.655817145518999,11.655817145518999,0.7805721937695227,2.183170939043262,6.00245513780086,0.36371299558652226,0.7332921246892627,0.047280069080259945,0.3870169663783678,6.3894721041792275,5.653362007718139,12.042834111897367,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CF,2025-08-11 10:45:00,3331,SHORT,1,-11.617749158273693,11.617749158273693,0.7805721937695227,2.183170939043262,6.00245513780086,0.36371299558652226,0.7332921246892627,0.047280069080259945,0.3870169663783678,6.3894721041792275,5.615294020472833,12.004766124652061,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,AL,2025-07-11 14:45:00,3824,LONG,0,-11.537592451535183,11.537592451535183,0.6135972201559242,1.384514607108812,1.9728090337403448,0.7017985945065566,0.5876136008268088,0.025983619329115415,0.08723541944846425,2.060044453188809,9.564783417794837,11.624827870983648,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,SC,2025-12-29 22:15:00,8789,LONG,4,-11.524272286409216,11.524272286409216,0.770162241831934,2.0738024748122244,5.20693308300732,0.39827715120442403,0.7151658018144951,0.054996440017438974,0.40041453638845703,5.607347619395778,6.317339203401896,11.924686822797673,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CU,2025-09-22 23:45:00,5417,SHORT,2,-11.46319639545446,11.46319639545446,0.5054170810865533,2.9156064407771787,2.672051418771673,1.0911490775568482,0.4782059828887617,0.02721109819779155,0.15204630671184538,2.8240977254835187,8.791144976682787,11.615242702166306,SELECTED_LOSER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,M,2025-12-03 11:15:00,5073,SHORT,4,29.696490539085495,29.696490539085495,0.5430489430369684,1.4300102744419056,1.8620730135399786,0.7679668112064626,0.5656214775421031,-0.022572534505134745,-0.07431066361174876,-1.5043209380536544,-28.26648026464359,-29.770801202697243,SKIPPED_WINNER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,M,2025-12-03 09:30:00,5067,SHORT,4,29.505042285095918,29.505042285095918,0.6122412276374671,1.4910751292352697,2.4452638306485563,0.6097808794888986,0.6212025579018541,-0.008961330264386946,-0.03527483345209215,-1.5263499626873618,-28.013967155860648,-29.54031711854801,SKIPPED_WINNER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,RU,2025-08-04 14:30:00,3223,LONG,1,19.260650702306705,19.260650702306705,0.38027544482516284,0.9010203100173575,0.789617190933504,1.1410849717597336,0.46705292559132366,-0.08677748076616082,-0.1467092632213135,-1.0477295732386709,-18.359630392289347,-19.40735996552802,SKIPPED_WINNER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,RU,2025-08-04 14:45:00,3224,LONG,1,19.233917959332228,19.233917959332228,0.3718315736419787,0.9152902462658318,0.789617190933504,1.1591569393059364,0.4631437306828892,-0.0913121570409105,-0.155678775645762,-1.0709690219115937,-18.318627713066395,-19.38959673497799,SKIPPED_WINNER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CU,2025-09-23 10:15:00,5427,LONG,2,12.45340052064983,12.45340052064983,0.3998212170312198,3.2904778704284294,2.812425719405254,1.169978587425331,0.46083404038861747,-0.06101282335739766,-0.37235537869375035,-3.66283324912218,-9.1629226502214,-12.82575589934358,SKIPPED_WINNER
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,CU,2025-09-23 11:30:00,5431,LONG,2,12.316226769369448,12.316226769369448,0.35807642526704403,3.2904778704284294,2.812425719405254,1.169978587425331,0.46083404038861747,-0.10275761512157344,-0.6271198182081983,-3.9175976886366275,-9.02574889894102,-12.943346587577647,SKIPPED_WINNER
