symbol,oracle_trade_id,n_candidates,return_atr_m0,return_atr_m1
NI,NI_LONG_11398,13,2.398390488111603,1.4604477422126119
NI,NI_LONG_11421,6,1.493264409381766,1.493264409381766
NI,NI_LONG_11447,21,4.6639015570059215,4.6639015570059215
NI,NI_LONG_11571,59,1.2237811464452466,1.5054323627833943
NI,NI_LONG_11690,35,0.394449489718661,0.394449489718661
NI,NI_LONG_9864,18,2.838509756988344,2.0939307850373834
NI,NI_LONG_9917,22,-0.4916626241531813,-0.6354818579892183
NI,NI_LONG_9995,1,-1.2734395593805232,-1.2734395593805232
NI,NI_SHORT_10047,3,1.6193166554078016,1.519874438942877
NI,NI_SHORT_10071,96,-2.765202670043785,-2.6582546161041294
NI,NI_SHORT_10421,20,-0.7450603837061631,-0.7450603837061631
NI,NI_SHORT_10496,9,-1.7497289099484237,-3.6223625505155423
NI,NI_SHORT_10534,12,4.233423695555384,4.233423695555384
NI,NI_SHORT_10697,27,-3.421603248501652,-4.303837987898948
NI,NI_SHORT_10767,26,-4.970051560531503,-0.7390202350003802
NI,NI_SHORT_10910,6,-3.5877969455050542,1.869549427602183
NI,NI_SHORT_10968,3,-2.025727920653705,-2.025727920653705
NI,NI_SHORT_10987,8,1.1416326546047098,-1.0120550564249944
NI,NI_SHORT_11323,7,1.4950674124876606,1.4950674124876606
NI,NI_SHORT_11374,11,-2.8240727570020745,-2.8240727570020745
NI,NI_SHORT_11384,10,-0.7864518756818135,-0.7864518756818135
NI,NI_SHORT_11510,19,1.915362009176227,2.213243695153622
NI,NI_SHORT_11737,131,-2.0314640788771636,-0.9376418610641012
NI,NI_SHORT_12151,158,-2.4065184909516057,-2.027953347076832
NI,NI_SHORT_9821,10,3.855530688680391,3.855530688680391
NI,NI_SHORT_9854,1,0.782535094567621,0.782535094567621
NI,NI_SHORT_9901,8,1.15034198981455,-0.069677150843502
NI,NI_SHORT_9952,16,-3.1965082730802226,-3.1965082730802226
NI,NI_SHORT_9977,8,3.2946327337026347,3.2946327337026347
P,P_LONG_7441,4,2.0418988756794296,2.0418988756794296
P,P_LONG_7489,142,3.8921014632711173,3.102031213297663
P,P_LONG_7949,2,-2.8366195142570336,-2.8366195142570336
P,P_LONG_7961,37,1.2967664514274557,1.081915332405025
P,P_LONG_8091,20,3.529498486991696,3.529498486991696
P,P_LONG_8238,189,3.6323963153278176,2.5518831461760456
