gid,teacher_direction,tr_A,tr_M9,tr_E9,tr_M33,tr_E33,delta_E9_minus_A,delta_E9_minus_M9,delta_E33_minus_E9,delta_E33_minus_M33,delta_M9_minus_A,delta_M33_minus_M9,delta_E33_minus_A
AG::AG_SHORT_14554,SHORT,-1.542748164878383,-0.17866735791106508,1.8437872216170437,-1.0212212859188803,1.0012332936092285,3.3865353864954266,2.022454579528109,-0.8425539280078151,2.022454579528109,1.3640808069673178,-0.8425539280078151,2.5439814584876115
AG::AG_SHORT_14634,SHORT,-0.6492139757494414,-0.6492139757494414,-0.6492139757494414,0.7122458126231591,0.557074546352764,0.0,0.0,1.2062885221022053,-0.15517126627039513,0.0,1.3614597883726005,1.2062885221022053
AL::AL_LONG_10560,LONG,-1.8523345810581042,-1.8523345810581042,-1.7045535283054827,-1.7045535283054827,-1.7045535283054827,0.14778105275262154,0.14778105275262154,0.0,0.0,0.0,0.14778105275262154,0.14778105275262154
AL::AL_LONG_10572,LONG,2.3257135881663014,3.1887349493998696,3.2149707663007514,2.7886940396661153,1.1999348731582589,0.88925717813445,0.026235816900881836,-2.0150358931424925,-1.5887591665078564,0.8630213612335682,-0.4000409097337543,-1.1257787150080425
AL::AL_LONG_10689,LONG,-1.9219609970288904,-1.1789270393297138,-2.6295633105466147,2.271030451440807,1.2743757577499597,-0.7076023135177243,-1.450636271216901,3.9039390682965744,-0.9966546936908474,0.7430339576991767,3.4499574907705206,3.19633675477885
AL::AL_LONG_10897,LONG,0.1819139526059814,0.1819139526059814,-0.1819139526059814,-0.1819139526059814,-0.1819139526059814,-0.3638279052119628,-0.3638279052119628,0.0,0.0,0.0,-0.3638279052119628,-0.3638279052119628
AL::AL_LONG_10900,LONG,0.550867659477085,0.550867659477085,0.550867659477085,0.550867659477085,0.550867659477085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_LONG_10977,LONG,-2.1883558119735613,0.9942455137020222,1.5593683351006855,-0.8191208735218378,0.7160895738464137,3.747724147074247,0.5651228213986633,-0.8432787612542718,1.5352104473682515,3.1826013256755834,-1.81336638722386,2.904445385819975
AL::AL_LONG_11014,LONG,1.0988587036012913,1.0988587036012913,-1.0988587036012913,-1.6557152248853608,-1.0988587036012913,-2.1977174072025827,-2.1977174072025827,0.0,0.5568565212840695,0.0,-2.754573928486652,-2.1977174072025827
AL::AL_LONG_11026,LONG,1.1236049778503248,1.1236049778503248,1.1236049778503248,1.1236049778503248,1.1236049778503248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_LONG_11046,LONG,2.387917503463172,2.387917503463172,2.387917503463172,2.387917503463172,2.387917503463172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_LONG_11068,LONG,1.2778155888008815,1.2778155888008815,0.6392673965953262,1.2778155888008815,0.43715786469289997,-0.6385481922055554,-0.6385481922055554,-0.2021095319024262,-0.8406577241079816,0.0,0.0,-0.8406577241079816
AL::AL_LONG_11094,LONG,1.6975749999880174,1.6975749999880174,1.6975749999880174,1.6975749999880174,1.6975749999880174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_LONG_11158,LONG,1.602946832751378,1.602946832751378,1.301911840198172,1.301911840198172,1.301911840198172,-0.3010349925532061,-0.3010349925532061,0.0,0.0,0.0,-0.3010349925532061,-0.3010349925532061
AL::AL_LONG_11230,LONG,2.6930429826378375,1.988171270268761,2.3894867020218524,2.3793663681199013,1.9659028045502303,-0.30355628061598505,0.40131543175309137,-0.4235838974716222,-0.41346356356967107,-0.7048717123690764,0.39119509785114026,-0.7271401780876072
AL::AL_LONG_11388,LONG,2.502586749872168,2.502586749872168,2.1792428576267624,2.019751892867561,1.9947660566015986,-0.3233438922454055,-0.3233438922454055,-0.18447680102516384,-0.024985836265962513,0.0,-0.4828348570046068,-0.5078206932705693
AL::AL_LONG_11559,LONG,5.189758711675538,3.4435766718655034,2.8308344107130203,0.5310425087705385,-1.4090800035851128,-2.358924300962518,-0.6127422611524831,-4.239914414298133,-1.9401225123556514,-1.746182039810035,-2.912534163094965,-6.598838715260651
AL::AL_LONG_11683,LONG,9.594058003043243,9.594058003043243,7.500713384840864,9.594058003043243,5.515195757786978,-2.0933446182023783,-2.0933446182023783,-1.985517627053886,-4.078862245256264,0.0,0.0,-4.078862245256264
