state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_30m,5,30,324,-0.0005527931574179885,-0.00030339805825241317,0.41358024691358025,I
prev_ret_15m,1,5,323,-2.8274235336429527e-05,-0.00022253249860682,0.4582043343653251,SC
prev_ret_15m,2,5,322,-9.7572111651454e-05,0.0,0.43788819875776397,SC
prev_ret_15m,3,5,324,-0.00026362023927882863,0.0,0.39814814814814814,SC
prev_ret_15m,4,5,323,-9.626296504106722e-06,0.0,0.47678018575851394,SC
prev_ret_15m,5,5,324,-0.000121869625560331,0.0,0.4691358024691358,SC
prev_ret_15m,1,15,323,-0.00019089954770138044,0.0,0.4891640866873065,SC
prev_ret_15m,2,15,322,6.192680255052183e-06,0.0,0.4751552795031056,SC
prev_ret_15m,3,15,324,-0.00018335188216456942,0.0,0.41358024691358025,SC
prev_ret_15m,4,15,323,1.7854263491795615e-05,0.0,0.48297213622291024,SC
prev_ret_15m,5,15,324,-0.00016856822064563134,-6.147020990110441e-05,0.48148148148148145,SC
prev_ret_15m,1,30,323,-0.0002865874439860755,-0.00022827231710198514,0.43653250773993807,SC
prev_ret_15m,2,30,322,0.0001671887723114325,0.0,0.48757763975155277,SC
prev_ret_15m,3,30,324,-8.467028097849115e-05,-8.306379857547785e-05,0.42901234567901236,SC
prev_ret_15m,4,30,323,-4.517773482103783e-05,-0.0001863226234770643,0.47058823529411764,SC
prev_ret_15m,5,30,324,-0.00011401927591822946,-0.00021089586322275977,0.47530864197530864,SC
prev_ret_30m,1,5,323,0.0001658343688574211,0.0,0.47678018575851394,SC
prev_ret_30m,2,5,323,-0.00017385321850940807,0.0,0.43962848297213625,SC
prev_ret_30m,3,5,323,-0.00038646408364274534,0.0,0.4179566563467492,SC
prev_ret_30m,4,5,323,6.098066381504623e-05,0.0,0.47058823529411764,SC
prev_ret_30m,5,5,324,-0.0001877702929080572,-0.00022745876807833687,0.4351851851851852,SC
prev_ret_30m,1,15,323,-0.00014903677921675377,0.0,0.48297213622291024,SC
prev_ret_30m,2,15,323,-0.00021541191319402784,0.0,0.47678018575851394,SC
prev_ret_30m,3,15,323,-0.00042440307147785815,0.0,0.4241486068111455,SC
prev_ret_30m,4,15,323,7.653950904849255e-05,0.0,0.4674922600619195,SC
prev_ret_30m,5,15,324,0.0001918369174237451,0.0,0.49074074074074076,SC
prev_ret_30m,1,30,323,-0.0003120609021639675,-0.0001474566164270108,0.4674922600619195,SC
prev_ret_30m,2,30,323,-0.00017392507904100314,-0.00021745184788624083,0.43962848297213625,SC
prev_ret_30m,3,30,323,-0.00039527617644486383,0.0,0.43962848297213625,SC
prev_ret_30m,4,30,323,0.0001509889247218749,0.0,0.47678018575851394,SC
prev_ret_30m,5,30,324,0.00036474527694684304,-0.00019436157715069236,0.47530864197530864,SC
prev_ret_15m,1,5,323,6.373665608166766e-05,0.0002895193977996424,0.5201238390092879,RU
prev_ret_15m,2,5,323,0.00011049981301653513,5.974686456688971e-08,0.5015479876160991,RU
prev_ret_15m,3,5,323,-0.00018603169008417347,-0.00029958055211998236,0.42724458204334365,RU
prev_ret_15m,4,5,323,-0.0004241620308506365,-0.00029761904761904656,0.4055727554179567,RU
prev_ret_15m,5,5,324,-0.0004150245609025029,-0.00029533498933748126,0.4012345679012346,RU
prev_ret_15m,1,15,323,0.0001042429782343506,0.0003185335390127886,0.5325077399380805,RU
