action,h,scale,target_bin,risk_bin,WF1_n,WF1_E_R_lower,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_ambiguity_gap_R,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry
OUTWARD,2,1.2,2-3,0.5-1,364,-0.3678585536978972,0.0,293,-0.07183994054286592,0.0,254,-0.4035521785620733,0.0,True,False,True,False
OUTWARD,2,1.2,1-2,>=3,108,-0.2136167485692419,0.0,115,-0.002670834921328466,0.0,148,0.22924275209054898,0.0,False,False,True,False
OUTWARD,2,1.2,3-5,0.25-0.5,76,-0.8746268656716418,0.0,41,0.7642165269308944,0.0,43,2.08566024404522,0.0,False,False,True,False
OUTWARD,2,1.2,>=5,>=3,40,-0.4112369719760521,0.0,30,-0.532656995865681,0.0,40,0.4015109890109891,0.0,False,False,True,False
OUTWARD,2,1.2,2-3,2-3,133,0.37818463688792847,0.0,115,-0.07032049993477262,0.0,134,0.2659459402791697,0.0,False,False,True,False
OUTWARD,2,1.2,<0.5,1-2,581,-0.03512434137994039,0.0018921144150689413,519,0.020232603891142974,0.0,441,0.021743359175002735,0.017201834862385322,True,False,True,False
OUTWARD,2,1.2,2-3,>=3,89,0.49568653949482794,0.0,90,0.3171951887902831,0.0,79,-0.15762055892106785,0.0,False,False,True,False
OUTWARD,2,1.2,3-5,1-2,316,-0.25266171846409297,0.0,277,-0.20784119330685052,0.0,348,-0.15830978256392195,0.0,True,False,True,False
OUTWARD,2,1.2,<0.5,>=3,38,0.06141702444464358,0.0,29,0.006872380964102458,0.0,46,0.11102548008864997,0.0,False,True,True,False
OUTWARD,2,1.2,>=5,2-3,79,-0.1336826024814306,0.0,32,-0.10689433439059842,0.0,77,-0.7742448330683626,0.0,False,False,True,False
OUTWARD,2,1.2,3-5,<0.25,19,-1.0,0.0,35,-1.0,0.0,15,-1.0,0.0,False,False,True,False
OUTWARD,2,1.2,0.5-1,0.5-1,327,-0.09248676507039345,0.04021548484089201,263,-0.11865532441714696,0.0076045627376425855,330,0.07604611138327834,0.025559105431309903,True,False,True,False
OUTWARD,2,1.2,0.5-1,2-3,210,0.033840326970752725,0.0,192,-0.015234852245288784,0.0,259,0.10949995387727149,0.0,False,False,True,False
OUTWARD,2,1.2,<0.5,2-3,90,0.004929335861576125,0.0,78,0.14186683987853832,0.0,106,-0.15472783263765033,0.0,False,False,True,False
OUTWARD,2,1.2,0.5-1,>=3,77,0.1294607418472079,0.0,102,0.13118430827226366,0.0,54,0.16094901090512337,0.0,False,True,True,False
OUTWARD,2,1.2,1-2,0.25-0.5,100,-0.49436884424597316,0.0,123,-0.06891199509400957,0.0,126,-0.3863992856867273,0.0,False,False,True,False
OUTWARD,2,1.2,<0.5,0.5-1,2,-0.2647309608221514,0.0,16,0.16429587574500487,0.0,21,0.1401154401154401,0.0,False,False,True,False
OUTWARD,2,1.2,1-2,<0.25,46,-0.29608472341851527,0.0,38,-0.8749984941754707,0.0,25,-0.02666666666666668,0.0,False,False,True,False
INWARD,2,0.2,1-2,1-2,1767,0.0468683873586159,0.003386297350009841,1599,-0.07283306526621698,0.00302810027983103,1794,-0.028494150616487347,0.0,True,False,True,False
INWARD,2,0.2,2-3,<0.25,720,-0.41200868777843175,0.0,666,-0.24921633108716737,0.0,674,-0.33334844173078404,0.0,True,False,True,False
INWARD,2,0.2,2-3,0.5-1,1793,-0.33450558248555684,0.0,1728,-0.16637071995158564,0.0,1612,-0.030496983350906937,0.0,True,False,True,False
INWARD,2,0.2,3-5,0.25-0.5,722,-0.626790023311653,0.0,885,-0.46679421693596435,0.0,887,-0.6358359869104319,0.0,True,False,True,False
INWARD,2,0.2,0.5-1,2-3,176,0.02288264281327918,0.0,160,0.20611386878906504,0.0,168,0.14732337954831207,0.0,False,True,True,False
INWARD,2,0.2,<0.5,0.5-1,272,0.06895027155176778,0.03308823529411765,271,0.013066883916341285,0.01107011070110701,208,-0.09764094609438155,0.10817307692307693,True,False,True,False
INWARD,2,0.2,2-3,1-2,978,0.05480013356874569,0.0,1021,-0.11455719493741975,0.0034690910490417204,1024,0.09901710418973252,0.0,True,False,True,False
INWARD,2,0.2,1-2,<0.25,713,-0.15601105246029867,0.0,608,-0.16243001143590013,0.0,483,-0.4337444656352248,0.012474012474012475,True,False,True,False
INWARD,2,0.2,3-5,<0.25,697,-0.9699961801458139,0.0,690,-0.7660453817730579,0.0,774,-0.599681351379966,0.0,True,False,True,False
INWARD,2,0.2,0.5-1,1-2,874,0.030912501921677774,0.013392857142857142,886,0.0889940336497115,0.015900383141762453,817,0.015763848956361213,0.002216680520919922,True,True,True,True
INWARD,2,0.2,3-5,0.5-1,923,-0.4998814070992539,0.0,1259,-0.5699048858101088,0.0,1283,-0.5309878429415867,0.0,True,False,True,False
INWARD,2,0.2,0.5-1,0.5-1,959,0.022984640539144306,0.03616411629490134,810,0.11001094783743531,0.0016542597187758478,836,-0.013565639254875002,0.01774128142741281,True,False,True,False
INWARD,2,0.2,0.5-1,0.25-0.5,338,0.23919269481787145,0.01238390092879257,377,0.022715734954419555,0.027851458885941646,279,-0.30217748513490617,0.05734767025089606,True,False,True,False
INWARD,2,0.2,>=5,1-2,155,-0.7899966502546479,0.0,150,-0.70393994612324,0.0,159,-0.6743998798700834,0.0,False,False,True,False
INWARD,2,0.2,3-5,1-2,470,-0.6308789685763312,0.0,589,0.19672105759895314,0.0,560,-0.2512634640814118,0.0,True,False,True,False
INWARD,2,0.2,1-2,0.5-1,2427,-0.061589562365409425,0.003116651825467498,2220,-0.09663536875595147,0.003871652081675948,2160,-0.07559837956944115,0.008215962441314555,True,False,True,False
