kappa,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0.01,REG-M0,CF,160,3,0.01875,-7.10119369817983,0.0,-0.1331473818408718,0.471423241955495
0.01,REG-M0,CU,162,2,0.012345679012345678,5.3971482478687545,0.5,0.06663145985023154,0.4882554298970536
0.01,REG-M0,I,126,0,0.0,,,0.0,0.29968758440083737
0.01,REG-M0,M,160,5,0.03125,-2.7370644229426855,0.0,-0.08553326321695892,0.5177341482428778
0.01,REG-M0,MA,161,5,0.031055900621118012,-2.3239505068909017,0.2,-0.07217237599040066,0.5961393883632576
0.01,REG-M0,NI,144,3,0.020833333333333332,-6.84202027224455,0.0,-0.1425420890050948,0.5082402868155481
0.01,REG-M0,P,130,2,0.015384615384615385,-3.672644481993573,0.0,-0.05650222279990112,0.40511805281994134
0.01,REG-M0,RB,138,3,0.021739130434782608,-0.5527531021564842,0.3333333333333333,-0.012016371786010527,0.4501031749688546
0.01,REG-M0,RU,174,3,0.017241379310344827,-0.5638396524412892,0.3333333333333333,-0.009721373317953263,0.5383474750049055
0.01,REG-M0,SC,258,11,0.04263565891472868,-1.2599166081100182,0.18181818181818182,-0.05371737476438062,0.9365715566576281
0.01,REG-M0,SN,150,4,0.02666666666666667,-1.9065604309063313,0.25,-0.0508416114908355,0.401164403643952
0.01,REG-M0,TA,150,2,0.013333333333333334,-5.64942424076576,0.0,-0.07532565654354346,0.49332336433589585
0.01,REG-M1,AG,239,40,0.16736401673640167,-1.3359672644788454,0.425,-0.22359284761152223,0.6874531295034566
0.01,REG-M1,AL,153,24,0.1568627450980392,-1.1856120982293734,0.4166666666666667,-0.18597836834970563,0.46749307544153157
0.01,REG-M1,AU,314,64,0.20382165605095542,-0.4820410667526202,0.53125,-0.09825040851008819,0.7728469642640557
0.01,REG-M1,CF,160,25,0.15625,-1.3373404816729986,0.4,-0.208959450261406,0.433193736308026
0.01,REG-M1,CU,162,38,0.2345679012345679,-1.319158631900757,0.34210526315789475,-0.3094322716804245,0.5531129964120938
0.01,REG-M1,I,126,1,0.007936507936507936,-0.6374313007777245,0.0,-0.005058978577600988,0.30137391059337104
0.01,REG-M1,M,160,44,0.275,-0.7061729981440398,0.3409090909090909,-0.19419757448961095,0.48977164270531703
0.01,REG-M1,MA,161,26,0.16149068322981366,-0.6487560479836494,0.2692307692307692,-0.10476805743835331,0.5524335273449457
0.01,REG-M1,NI,144,20,0.1388888888888889,-1.7509181023547034,0.35,-0.24318306977148657,0.4543363049231766
0.01,REG-M1,P,130,21,0.16153846153846155,-1.9106565585273354,0.38095238095238093,-0.30864452099287726,0.35467225292840815
0.01,REG-M1,RB,138,16,0.11594202898550725,-2.734502698840146,0.25,-0.317043791169872,0.4464492984746385
0.01,REG-M1,RU,174,36,0.20689655172413793,-0.5943018335410749,0.3888888888888889,-0.12295900004298102,0.47927152900690795
0.01,REG-M1,SC,258,61,0.2364341085271318,-0.27068034556066395,0.3114754098360656,-0.06399806619845155,0.80851397806217
0.01,REG-M1,SN,150,11,0.07333333333333333,-1.1294069275876155,0.5454545454545454,-0.08282317468975847,0.37986467768902993
0.01,REG-M1,TA,150,11,0.07333333333333333,-1.737617458095694,0.18181818181818182,-0.12742528026035088,0.5041591490654366
0.01,ACTION3-M0,AG,239,4,0.016736401673640166,-1.7441614651049402,0.0,-0.029190986863681007,0.7120948615947451
0.01,ACTION3-M0,AL,153,6,0.0392156862745098,-2.952512669661574,0.16666666666666666,-0.11578481057496369,0.4681117955216927
0.01,ACTION3-M0,AU,314,45,0.14331210191082802,-1.1523332051237793,0.3111111111111111,-0.16514329372793016,0.8747391542128116
0.01,ACTION3-M0,CF,160,12,0.075,-0.4059221206376451,0.3333333333333333,-0.030444159047823383,0.49035654637340026
0.01,ACTION3-M0,CU,162,16,0.09876543209876543,-0.8764135443335872,0.4375,-0.08655936240331726,0.6075533453923235
0.01,ACTION3-M0,I,126,0,0.0,,,0.0,0.29968758440083737
0.01,ACTION3-M0,M,160,24,0.15,-1.4803591045223363,0.125,-0.22205386567835045,0.5584059003919533
0.01,ACTION3-M0,MA,161,14,0.08695652173913043,-1.2064412514542069,0.2857142857142857,-0.10490793490906147,0.5915222007983828
0.01,ACTION3-M0,NI,144,1,0.006944444444444444,-0.1786525260454332,0.0,-0.001240642541982175,0.5031454706664021
0.01,ACTION3-M0,P,130,17,0.13076923076923078,-1.0800216906745692,0.23529411764705882,-0.14123360570359753,0.438449247658293
0.01,ACTION3-M0,RB,138,6,0.043478260869565216,-1.9747407060637572,0.16666666666666666,-0.08585829156798944,0.4531935428497827
0.01,ACTION3-M0,RU,174,24,0.13793103448275862,-0.7098400871847067,0.25,-0.09790897754271816,0.5302330328032444
0.01,ACTION3-M0,SC,258,25,0.09689922480620156,-2.168616359787799,0.12,-0.2101372441654844,0.9621629172297665
0.01,ACTION3-M0,SN,150,3,0.02,-0.05459862092805171,0.6666666666666666,-0.0010919724185610342,0.38736453540702365
