factor,bucket,horizon,split,bucket_candidate_n,bucket_analyzable_n,bucket_analyzable_weight,bucket_invalidated_n,bucket_invalidation_rate,bucket_survival_rate,bucket_mean_first_invalidation_step,bucket_median_first_invalidation_step,rest_candidate_n,rest_analyzable_n,rest_analyzable_weight,rest_invalidated_n,rest_invalidation_rate,rest_survival_rate,rest_mean_first_invalidation_step,rest_median_first_invalidation_step,delta_invalidation_pp,delta_mean_first_step
touch_bin,2,24,DISCOVERY,3178,587,429.94444444444446,271,0.44726708877115906,0.5527329112288409,7.654359507713642,6.0,10608,1961,1329.0444444444445,890,0.4424186490353495,0.5575813509646506,7.20853993095978,5.0,0.4848439735809562,0.44581957675386175
touch_bin,2,24,VALIDATION,1429,263,189.675,129,0.47155221651069806,0.528447783489302,6.936364483369049,6.0,4798,897,596.3087301587301,392,0.4250175351268186,0.5749824648731814,7.100967161599128,5.0,4.653468138387945,-0.16460267823007868
touch_bin,3,6,DISCOVERY,1837,1379,976.6770562770563,302,0.20515306339545164,0.7948469366045483,3.2118020765873223,3.0,11949,9015,6368.472979797979,2084,0.2187509741391508,0.7812490258608492,2.958171763731,3.0,-1.3597910743699149,0.2536303128563224
touch_bin,3,6,VALIDATION,796,609,434.5503968253968,119,0.16922252245753,0.83077747754247,2.9270519669742594,3.0,5431,4149,2920.0275613275617,945,0.21513780953756634,0.7848621904624337,2.9488814561441745,3.0,-4.591528708003634,-0.021829489169915117
touch_bin,3,12,DISCOVERY,1837,868,575.6437229437229,270,0.28834668058420576,0.7116533194157942,5.046099598291976,4.0,11949,6028,4073.8420274170276,2050,0.33149690347032545,0.6685030965296745,4.849271180452432,4.0,-4.315022288611969,0.1968284178395434
touch_bin,3,12,VALIDATION,796,385,263.3670634920635,109,0.2595960433036757,0.7404039566963243,4.934633466829183,4.0,5431,2784,1864.244227994228,947,0.32805519299260694,0.671944807007393,4.718410505272296,4.0,-6.8459149688931245,0.2162229615568867
touch_bin,3,24,DISCOVERY,1837,329,223.94404761904764,135,0.3764386299724101,0.6235613700275899,8.039639614195133,6.0,11949,2219,1535.044841269841,1026,0.45340229707368557,0.5465977029263145,7.231052248073155,5.0,-7.696366710127545,0.8085873661219782
touch_bin,3,24,VALIDATION,796,147,105.75515873015873,50,0.3260676240042326,0.6739323759957674,7.326727887868535,5.166666666666665,5431,1013,680.2285714285715,471,0.4533770161290322,0.5466229838709677,7.027986226916189,5.0,-12.730939212479958,0.2987416609523459
touch_bin,4+,6,DISCOVERY,2856,2048,1378.699531024531,387,0.17070269625596887,0.8292973037440311,3.023136070647973,3.0,10930,8346,5966.450505050506,1999,0.22762783831535938,0.7723721616846406,2.9843329294981293,3.0,-5.692514205939051,0.03880314114984351
touch_bin,4+,6,VALIDATION,1388,1006,679.6127705627705,148,0.12269592023214138,0.8773040797678586,3.2073982068414146,3.0,4839,3752,2674.9651875901877,916,0.23116500214733546,0.7688349978526645,2.9114244514565253,3.0,-10.846908191519407,0.29597375538488935
touch_bin,4+,12,DISCOVERY,2856,1309,833.5138167388168,378,0.26999593984038867,0.7300040601596114,5.023062211127244,4.0,10930,5587,3815.971933621933,1942,0.3384211546021223,0.6615788453978777,4.844284129031076,4.0,-6.8425214761733635,0.1787780820961684
touch_bin,4+,12,VALIDATION,1388,654,418.1961038961039,151,0.20563091529999492,0.7943690847000051,5.0766249048245315,4.0,4839,2515,1709.4151875901875,905,0.347458010383837,0.652541989616163,4.691436268084135,4.0,-14.182709508384209,0.3851886367403967
touch_bin,4+,24,DISCOVERY,2856,426,280.75912698412696,173,0.3775902350910867,0.6224097649089133,7.429960696238068,5.0,10930,2122,1478.2297619047617,988,0.4561416365939634,0.5438583634060365,7.300872003206233,5.0,-7.855140150287671,0.1290886930318358
touch_bin,4+,24,VALIDATION,1388,194,126.39126984126983,62,0.28437768833240185,0.7156223116675982,10.072270800211976,10.538095238095234,4839,966,659.5924603174603,459,0.4653486730923917,0.5346513269076083,6.705061474615058,5.0,-18.097098475998983,3.367209325596918
ob_width_bucket,NARROW_LE_0.5,6,DISCOVERY,303,260,142.82276334776333,91,0.4013132453340413,0.5986867546659587,2.529514393719104,2.0,13483,10134,7202.327272727273,2295,0.2132867937427953,0.7867132062572046,3.0072477846535204,3.0,18.802645159124598,-0.4777333909344166
ob_width_bucket,NARROW_LE_0.5,6,VALIDATION,131,109,62.12777777777778,51,0.5278675540680369,0.47213244593196313,2.2076375780455932,2.0,6096,4649,3292.45018037518,1013,0.20317659277310057,0.7968234072268994,2.9828213063495137,3.0,32.46909612949363,-0.7751837283039205
ob_width_bucket,NARROW_LE_0.5,12,DISCOVERY,303,207,107.12276334776337,86,0.4695547279405598,0.5304452720594401,3.4801192842942346,2.0,13483,6689,4542.362987012987,2234,0.3227727458632936,0.6772272541367064,4.918526597247827,4.0,14.678198207726624,-1.4384073129535926
ob_width_bucket,NARROW_LE_0.5,12,VALIDATION,131,81,43.461111111111116,38,0.5321670531947919,0.46783294680520815,3.8293185093679227,2.0,6096,3088,2084.1501803751803,1018,0.31514786332347644,0.6848521366765236,4.772225293397979,4.0,21.701918987131542,-0.9429067840300567
ob_width_bucket,NARROW_LE_0.5,24,DISCOVERY,303,113,67.52222222222223,63,0.5785749547474083,0.4214250452525917,6.76023890784983,3.0,13483,2435,1691.4666666666667,1098,0.43821577779779736,0.5617842222022027,7.347828810322646,5.0,14.035917694961093,-0.587589902472816
ob_width_bucket,NARROW_LE_0.5,24,VALIDATION,131,50,27.03492063492064,25,0.5904180366369187,0.4095819633630813,5.283114558472553,2.0,6096,1110,758.9488095238096,496,0.43075557200827586,0.5692444279917241,7.144690365385595,5.0,15.966246462864287,-1.8615758069130424
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,3249,2562,1820.337121212121,930,0.3504449338774899,0.6495550661225101,2.7812755289407067,2.0,10537,7832,5524.812914862914,1456,0.17295608933732481,0.8270439106626752,3.1294516689106517,3.0,17.748884454016505,-0.348176139969945
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,1468,1138,809.0858225108225,404,0.34865187087184735,0.6513481291281527,2.811521174906628,3.0,4759,3620,2545.4921356421355,660,0.16486193613750771,0.8351380638624923,3.0373890102408443,3.0,18.37899347343396,-0.2258678353342165
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,3249,1803,1223.237121212121,845,0.47000075173705386,0.5299992482629461,4.468396511029033,3.0,10537,5093,3426.248629148629,1475,0.27479868200270197,0.725201317997298,5.116542849844323,4.0,19.52020697343519,-0.6481463388152902
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,1468,774,529.3691558441558,370,0.4749161329206066,0.5250838670793934,4.352721125480038,3.0,4759,2395,1598.2421356421357,686,0.26813089561421105,0.731869104385789,4.967441912148723,4.0,20.678523730639554,-0.614720786668685
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,3249,757,510.02896825396823,430,0.576286127538663,0.42371387246133696,6.328009882743676,4.0,10537,1791,1248.9599206349208,731,0.3894211659924019,0.6105788340075982,7.916926119563727,6.0,18.686496154626113,-1.588916236820051
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,1468,337,235.7952380952381,201,0.6121231092352122,0.3878768907647878,6.341069926263176,4.0,4759,823,550.188492063492,320,0.3608719955282281,0.639128004471772,7.57923012351601,6.0,25.12511137069841,-1.2381601972528342
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,10234,7572,5381.990151515151,1365,0.1668961376964795,0.8331038623035205,3.167733930507892,3.0,3552,2822,1963.1598845598846,1021,0.35414567820616083,0.6458543217938392,2.760520086466606,2.0,-18.724954050968133,0.40721384404128624
