offset,n_trades,mean_gross_return,mean_gross_bps,median_gross_return,win_rate,break_even_roundtrip_cost_bps,break_even_oneway_cost_bps,instrument,horizon,fold,model
1,309,6.988204536797644e-05,0.6988204536797644,9.493970447982392e-05,0.5080906148867314,0.6988204536797644,0.3494102268398822,AG,3,2,RF
2,329,5.11819045421522e-06,0.0511819045421522,0.0,0.47720364741641336,0.0511819045421522,0.0255909522710761,AG,3,2,RF
0,255,1.8017660542453217e-05,0.18017660542453218,0.0,0.48627450980392156,0.18017660542453218,0.09008830271226609,AG,3,3,LASSO
1,255,3.249226483182954e-05,0.3249226483182954,0.00017406438903533328,0.5294117647058824,0.3249226483182954,0.1624613241591477,AG,3,3,LASSO
2,272,5.395796984640407e-06,0.05395796984640407,0.0,0.47794117647058826,0.05395796984640407,0.026978984923202037,AG,3,3,LASSO
0,255,-7.540343676131777e-06,-0.07540343676131778,-0.00017410984852184175,0.43529411764705883,-0.07540343676131778,-0.03770171838065889,AG,3,3,RF
1,255,5.350510994231504e-06,0.05350510994231504,0.0001743071143260888,0.5333333333333333,0.05350510994231504,0.02675255497115752,AG,3,3,RF
2,272,0.0001715166898500217,1.715166898500217,0.0,0.4852941176470588,1.715166898500217,0.8575834492501085,AG,3,3,RF
0,306,0.00029315077228841095,2.9315077228841093,0.0003459741485815071,0.5555555555555556,2.9315077228841093,1.4657538614420547,AG,3,4,LASSO
1,306,0.00032187881212487445,3.2187881212487444,0.00034386802340879985,0.5686274509803921,3.2187881212487444,1.6093940606243722,AG,3,4,LASSO
2,327,0.0003309967216983163,3.309967216983163,0.0003339455396460522,0.5351681957186545,3.309967216983163,1.6549836084915814,AG,3,4,LASSO
0,306,0.00010959768676559078,1.0959768676559078,0.0001609597430063392,0.5098039215686274,1.0959768676559078,0.5479884338279539,AG,3,4,RF
1,306,0.00012308136419270088,1.2308136419270088,3.8411305407437535e-05,0.5,1.2308136419270088,0.6154068209635044,AG,3,4,RF
2,327,0.0001222458627917077,1.222458627917077,0.0,0.4923547400611621,1.222458627917077,0.6112293139585385,AG,3,4,RF
0,324,0.000241409105507356,2.41409105507356,0.000591873010155286,0.5833333333333334,2.41409105507356,1.20704552753678,AG,3,5,LASSO
1,324,0.0002645072557832645,2.645072557832645,0.0004153906208369529,0.558641975308642,2.645072557832645,1.3225362789163224,AG,3,5,LASSO
2,345,0.0001772943647910415,1.7729436479104148,0.00044779935790018044,0.5623188405797102,1.7729436479104148,0.8864718239552074,AG,3,5,LASSO
0,324,0.00032957987366292107,3.2957987366292105,0.0005774278103215513,0.5833333333333334,3.2957987366292105,1.6478993683146053,AG,3,5,RF
1,324,0.0002729242290587098,2.729242290587098,0.0001795808927735898,0.5339506172839507,2.729242290587098,1.364621145293549,AG,3,5,RF
2,345,-4.7544208848310313e-05,-0.47544208848310315,7.344839722911445e-05,0.5043478260869565,-0.47544208848310315,-0.23772104424155158,AG,3,5,RF
0,300,0.00034044918429781154,3.4044918429781155,0.0005577849103255428,0.5633333333333334,3.4044918429781155,1.7022459214890577,AG,3,6,LASSO
1,300,0.00015164858086427017,1.5164858086427018,0.0003620337981047328,0.5466666666666666,1.5164858086427018,0.7582429043213509,AG,3,6,LASSO
