目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762,0.0,0.0297
2.0R,S0_CURRENT-A-LightGBM,AG,F1,0.9051,2.8087,0.6588,1.1317773084749465,559,38.2029,0.068341,0.1878,0.6959
2.0R,S0_CURRENT-A-LightGBM,CU,F1,0.4349,1.1725,0.8446,1.0279725118543706,559,8.8902,0.015904,0.1306,0.6422
2.0R,S0_CURRENT-A-LightGBM,M,F1,0.7901,2.2391,0.637,1.088813418395754,559,28.5534,0.051079,0.0769,0.288
2.0R,S0_CURRENT-A-LightGBM,RB,F1,0.2498,0.7164,0.7421,1.0150007869992332,559,4.8408,0.00866,0.1181,0.4866
2.0R,S0_CURRENT-A-LightGBM,AG,F2,1.4819,2.7729,1.1622,1.2427948420507762,714,88.306,0.123678,0.1723,0.8599
2.0R,S0_CURRENT-A-LightGBM,CU,F2,0.5155,1.1819,0.9736,1.1289069003651464,714,48.5456,0.067991,0.1849,1.0644
2.0R,S0_CURRENT-A-LightGBM,M,F2,1.0597,2.2166,1.1007,1.1719487018741412,714,70.014,0.098059,0.063,0.5392
2.0R,S0_CURRENT-A-LightGBM,RB,F2,1.0506,2.068,1.2003,1.1638195309816195,714,67.2927,0.094247,0.049,0.1583
2.0R,S0_CURRENT-A-LightGBM,AG,F3,0.5098,2.3532,0.3982,1.286145446263076,139,21.5644,0.15514,0.0935,0.482
2.0R,S0_CURRENT-A-LightGBM,CU,F3,0.0702,0.3631,0.5788,0.9094889697920454,139,-6.2426,-0.044911,0.3381,1.5827
2.0R,S0_CURRENT-A-LightGBM,M,F3,0.3273,1.6061,0.439,1.1405349255203878,139,10.9992,0.079131,0.036,0.3237
2.0R,S0_CURRENT-A-LightGBM,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
2.0R,S0_CURRENT-A-LightGBM,AG,F4,-0.3327,-1.1641,0.7131,0.8092859786930534,202,-27.4464,-0.135873,0.1485,0.9257
2.0R,S0_CURRENT-A-LightGBM,CU,F4,-0.523,-2.1135,0.8097,0.7279341863786164,202,-36.7852,-0.182105,0.2574,0.698
2.0R,S0_CURRENT-A-LightGBM,M,F4,-0.346,-1.1953,0.7319,0.8210496984477477,202,-26.7504,-0.132428,0.0495,0.5594
2.0R,S0_CURRENT-A-LightGBM,RB,F4,-0.4352,-1.4965,0.7724,0.7999723910303959,202,-30.918,-0.153059,0.0099,0.0099
2.0R,S0_CURRENT-A-线性,AG,F1,0.7188,2.0546,0.6331,1.0854871361534666,559,27.3726,0.048967,0.1002,1.0465
2.0R,S0_CURRENT-A-线性,CU,F1,0.6141,1.6861,0.6105,1.0728605010881849,559,23.1863,0.041478,0.1002,0.7657
2.0R,S0_CURRENT-A-线性,M,F1,0.8367,2.4074,0.4946,1.1048911080518589,559,34.322,0.061399,0.0501,0.3739
2.0R,S0_CURRENT-A-线性,RB,F1,0.2234,0.6236,0.7426,1.0032322091490258,559,1.0583,0.001893,0.1073,0.4991
2.0R,S0_CURRENT-A-线性,AG,F2,1.2046,2.3537,1.144,1.1950710027973657,714,70.6068,0.098889,0.1877,0.6877
2.0R,S0_CURRENT-A-线性,CU,F2,0.724,1.5157,0.7709,1.1462016552230785,714,52.4621,0.073476,0.2311,0.9734
2.0R,S0_CURRENT-A-线性,M,F2,1.0301,2.2741,1.0623,1.1643977693567853,714,66.0978,0.092574,0.063,0.5658
2.0R,S0_CURRENT-A-线性,RB,F2,1.0396,2.0612,1.2398,1.1607994390087586,714,66.0014,0.092439,0.035,0.2563
2.0R,S0_CURRENT-A-线性,AG,F3,0.3543,1.7491,0.4056,1.1970779565194332,139,14.7346,0.106004,0.1151,0.5108
2.0R,S0_CURRENT-A-线性,CU,F3,-0.1565,-1.0467,0.5057,0.7480289414221575,139,-16.3066,-0.117313,0.4245,0.9424
2.0R,S0_CURRENT-A-线性,M,F3,0.4082,2.1101,0.3751,1.2014479445374364,139,15.1623,0.109082,0.0647,0.1942
2.0R,S0_CURRENT-A-线性,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
2.0R,S0_CURRENT-A-线性,AG,F4,-0.3341,-1.1373,0.7478,0.81819923442447,202,-27.0951,-0.134134,0.0842,1.3564
2.0R,S0_CURRENT-A-线性,CU,F4,-0.6121,-2.192,0.7425,0.7544002983385538,202,-36.8881,-0.182614,0.1139,1.1832
2.0R,S0_CURRENT-A-线性,M,F4,-0.4193,-1.4287,0.7565,0.799017964061587,202,-30.916,-0.153049,0.0297,0.6238
2.0R,S0_CURRENT-A-线性,RB,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296,0.0,0.0297
2.0R,S0_CURRENT-B-LightGBM,AG,F1,0.6843,1.9209,0.6452,1.0842959087259287,559,28.8138,0.051545,0.0572,1.4508
2.0R,S0_CURRENT-B-LightGBM,CU,F1,0.5145,1.464,0.7554,1.0454859225239486,559,15.3926,0.027536,0.0429,1.0966
2.0R,S0_CURRENT-B-LightGBM,M,F1,0.5106,1.402,0.7515,1.0535645436215353,559,18.2937,0.032726,0.0358,0.5188
2.0R,S0_CURRENT-B-LightGBM,RB,F1,0.3902,1.064,0.7128,1.036258941978557,559,12.434,0.022243,0.0304,0.8784
2.0R,S0_CURRENT-B-LightGBM,AG,F2,1.4458,2.8165,1.2312,1.2077473017353288,714,84.3487,0.118135,0.0602,1.388
2.0R,S0_CURRENT-B-LightGBM,CU,F2,1.0092,2.0504,1.1917,1.1659203765867505,714,68.8619,0.096445,0.0742,1.7913
2.0R,S0_CURRENT-B-LightGBM,M,F2,1.3318,2.6861,1.0601,1.2073945214076567,714,85.3865,0.119589,0.028,0.7283
2.0R,S0_CURRENT-B-LightGBM,RB,F2,1.0863,2.1473,1.1997,1.1702624539955524,714,71.0385,0.099494,0.0056,0.3263
2.0R,S0_CURRENT-B-LightGBM,AG,F3,0.3778,1.8047,0.4443,1.168546616896822,139,13.2759,0.09551,0.0216,0.9784
2.0R,S0_CURRENT-B-LightGBM,CU,F3,0.3029,1.5137,0.4589,1.1159720346696822,139,9.2522,0.066563,0.0647,3.0216
2.0R,S0_CURRENT-B-LightGBM,M,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.3813
2.0R,S0_CURRENT-B-LightGBM,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
