risk_ATR,wf,model,roc_auc_lo,roc_auc_hi,brier_lo,brier_hi,bottom20_gain_lo,bottom20_gain_hi
1.0,WF3,M_B2_full,0.7603372251276505,0.7805810217028075,0.15764435151195888,0.16803629593791855,0.2612942935417192,0.3020620795657369
1.0,WF3,M_ob,0.6146209297342456,0.6400180436814978,0.18171958695337878,0.19329354675768548,0.11156275139715584,0.15427468756432536
1.0,WF3,M_full,0.7523764601148717,0.7707439743517136,0.16021040801056735,0.1703925046828109,0.2609569074792853,0.3007315010602972
1.0,WF3,M_full_minus_ob,0.7554873857797169,0.7747257436550739,0.15908676180532405,0.16908057394153406,0.2620730754609486,0.2997650733821426
1.0,WF3,M_B2mG1,0.722178337965634,0.7439335778650493,0.16547186681156825,0.17574550493484725,0.2391709969133759,0.2777147741305506
1.0,WF3,M_B2mG2,0.7792553047452916,0.797480721109992,0.1507233989555575,0.16020830258599617,0.2901852344466605,0.3361445138074881
1.0,WF3,M_B2mG3,0.7592978160771858,0.7803636446309368,0.15742447945369095,0.1679661690170376,0.26687946303388305,0.30686751367487897
1.0,WF3,M_B2mG4,0.7603372251276505,0.7805810217028075,0.15764435151195888,0.16803629593791855,0.2612942935417192,0.3020620795657369
1.0,WF3,M_B2mG5,0.7624347188687056,0.782053737950476,0.15709549009179202,0.16722755867955255,0.26466617376745666,0.3042104184125976
1.5,WF1,M0,0.6235286852188857,0.6553624117959443,0.11077496864353922,0.11974729296011893,0.06811212091231018,0.09794199960812379
1.5,WF1,M_G1,0.8245173107025212,0.8429557680768756,0.09236384573893446,0.09997435630614984,0.21726101699149092,0.2541922074903419
1.5,WF1,M_G2,0.5690723404922873,0.6009953802770819,0.11676277293299667,0.12574904132356943,-0.0038402223539822228,0.025706393719603784
1.5,WF1,M_G3,0.7812278913346664,0.801687658500075,0.09754984550397065,0.10596243820705123,0.1849968972712868,0.21534730799450952
1.5,WF1,M_G4,0.6235286852188857,0.6553624117959443,0.11077496864353922,0.11974729296011893,0.06811212091231018,0.09794199960812379
1.5,WF1,M_G5,0.6515034883839422,0.6778725224967982,0.11003399755331514,0.11840085253547394,0.07731189738189455,0.1075468989745588
1.5,WF1,M_simple,0.8013142232868445,0.8218574048649453,0.09672702936737866,0.10457553463094114,0.1911326157608046,0.22987023461210598
