horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_15m_location_32,tree_importance,0.16647580956999863,0.16647580956999863
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_time_bars_since_segment_start,tree_importance,0.2905974491712605,0.2905974491712605
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_time_after_long_gap,tree_importance,0.0014015591732382151,0.0014015591732382151
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_15m_ret_1,tree_importance,0.09594274264942124,0.09594274264942124
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_15m_ret_4,tree_importance,0.040845700672092894,0.040845700672092894
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_15m_ret_8,tree_importance,0.12032621969195904,0.12032621969195904
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_15m_ret_16,tree_importance,0.08199493993271155,0.08199493993271155
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_15m_location_32,tree_importance,0.16663090658399893,0.16663090658399893
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_time_bars_since_segment_start,tree_importance,0.4942594904698164,0.4942594904698164
4,F1_DIRECTION,gbr_quantile,0.1,3,feat_time_after_long_gap,tree_importance,0.0,0.0
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_15m_ret_1,tree_importance,0.12116642508277775,0.12116642508277775
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_15m_ret_4,tree_importance,0.14619537586764014,0.14619537586764014
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_15m_ret_8,tree_importance,0.24077418293967726,0.24077418293967726
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_15m_ret_16,tree_importance,0.16669273158482864,0.16669273158482864
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_15m_location_32,tree_importance,0.20575459227002332,0.20575459227002332
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_time_bars_since_segment_start,tree_importance,0.10281670627258319,0.10281670627258319
4,F1_DIRECTION,gbr_quantile,0.5,3,feat_time_after_long_gap,tree_importance,0.016599985982469805,0.016599985982469805
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_15m_ret_1,tree_importance,0.10420059613564449,0.10420059613564449
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_15m_ret_4,tree_importance,0.12436187149873329,0.12436187149873329
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_15m_ret_8,tree_importance,0.12499631808232183,0.12499631808232183
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_15m_ret_16,tree_importance,0.1685840602469198,0.1685840602469198
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_15m_location_32,tree_importance,0.1599363110727851,0.1599363110727851
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_time_bars_since_segment_start,tree_importance,0.3162397774881565,0.3162397774881565
4,F1_DIRECTION,gbr_quantile,0.9,3,feat_time_after_long_gap,tree_importance,0.001681065475438936,0.001681065475438936
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_15m_ret_1,tree_importance,0.11296553072235516,0.11296553072235516
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_15m_ret_4,tree_importance,0.026769102072777114,0.026769102072777114
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_15m_ret_8,tree_importance,0.11626047124484738,0.11626047124484738
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_15m_ret_16,tree_importance,0.07671650447750963,0.07671650447750963
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_15m_location_32,tree_importance,0.13010727481743065,0.13010727481743065
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_time_bars_since_segment_start,tree_importance,0.5354018015646004,0.5354018015646004
