kappa,coverage,split,threshold,fc_selected_episodes,fc_selected_symbols,fc_row_coverage,fc_episode_coverage,fc_mean_actual_y,fc_median_actual_y,fc_positive_y_rate,fc_p25_actual_y,fc_p75_actual_y,fc_long_fraction,fc_short_fraction,fc_ci_lower,fc_ci_upper,rp_rows,rp_mean_actual_y,rp_positive_y_rate
0.02,0.2,validation,-0.9913618523822703,2422,15,0.028006799338567746,0.8555280819498411,-1.6676048583396812,-0.8218581016751789,0.2745664739884393,-2.920534661204559,0.11433994270746013,0.6614368290668868,0.3385631709331131,-1.8076416445173364,-1.5367428255825377,17296,-2.0333772742512357,0.1954209065679926
0.02,0.2,test,-0.9913618523822703,2218,15,0.02474866381763203,0.8468881252386407,-1.7171283044594743,-0.9371261070462957,0.26330027051397653,-2.7863944844281923,0.10480741585131861,0.6266907123534716,0.37330928764652843,-1.8487013737628435,-1.587458280289864,16412,-2.091528125230587,0.1854131123568121
0.02,0.1,validation,-0.5455457832765831,1758,15,0.020328634697440996,0.620981985164253,-1.4352661597476082,-0.6292311058942444,0.31569965870307165,-2.618190542729998,0.26069822916144536,0.729806598407281,0.270193401592719,-1.6053101735368314,-1.2823446223994361,8652,-1.9785422677129048,0.22376329172445678
0.02,0.1,test,-0.5455457832765831,1534,15,0.017116524028966424,0.5857197403589156,-1.3660871995311044,-0.6468458197691518,0.3161668839634941,-2.267190930258438,0.2914737435067705,0.6577574967405476,0.34224250325945244,-1.5378033403643163,-1.2096692551995019,7456,-1.9011063808566835,0.21767703862660945
0.02,0.05,validation,-0.2799872911206146,1194,15,0.013806820152869484,0.42175909572589193,-1.2432340186560522,-0.5516835461294936,0.34840871021775544,-2.512361089788323,0.4207781866404725,0.7696817420435511,0.23031825795644892,-1.4573274947150017,-1.0316352063752108,4324,-1.816131698289291,0.2599444958371878
0.02,0.05,test,-0.2799872911206146,972,15,0.010845672331261645,0.3711340206185567,-1.1646594159329386,-0.5154545107118907,0.3497942386831276,-2.138265219631784,0.45086742002434566,0.6872427983539094,0.31275720164609055,-1.3662929822918584,-0.9494362842044547,3485,-1.7203075591388453,0.24763271162123385
0.02,0.03,validation,-0.13019854542879541,827,15,0.009563015298511777,0.29212292476156837,-1.0862851956253994,-0.49897826478872853,0.37122128174123337,-2.3939411278540343,0.6368283254976721,0.8016928657799275,0.19830713422007254,-1.3499392528598853,-0.8263223849807476,2597,-1.6918412202308837,0.2791682710820177
0.02,0.03,test,-0.13019854542879541,596,15,0.006650227067316812,0.22756777395952654,-0.8751104122084173,-0.4577671744731786,0.37919463087248323,-1.9885783216294766,0.64047281497166,0.709731543624161,0.2902684563758389,-1.1620087744845413,-0.6039355925279969,1856,-1.6091240582174242,0.27316810344827586
0.02,0.02,validation,-0.009210672862094134,619,15,0.007157807097676893,0.21865065347933593,-0.9489044384632588,-0.44354348379971587,0.3990306946688207,-2.2967152731114244,0.7569831403427405,0.851373182552504,0.14862681744749595,-1.2375788720250525,-0.6272367390749313,1730,-1.493277167230397,0.30057803468208094
0.02,0.02,test,-0.009210672862094134,374,15,0.004173129065732362,0.14280259641084384,-0.8907035715055316,-0.4048995519571768,0.39572192513368987,-1.9041726120374178,0.6103469924844646,0.7085561497326203,0.2914438502673797,-1.2481540953792802,-0.5581610598399174,1034,-1.5624188076385637,0.2911025145067698
