variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF3,INWARD,0.2,3,5,2,1613,-0.8989898989898997,0.015499070055796652,0.0,0.0,-0.15151515151515138,0.06172839506172839,0.43521388716677,0.05083694978301302,0.07439553626782393
first_available,WF1,INWARD,0.4,2,5,3,19028,0.6666666666666667,-0.043935253310910236,0.0,0.0,0.0,-0.0766303879092829,0.5583350851376918,0.055917595122976664,0.0952280849274753
first_available,WF1,INWARD,0.4,3,5,2,3372,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.4819098457888493,0.0498220640569395,0.08214709371293001
first_available,WF2,INWARD,0.4,2,5,3,18632,0.8210333067771861,-0.04776728209531988,0.0,0.0,0.0,-0.09420341968792842,0.5642443108630314,0.056086303134392446,0.09113353370545299
first_available,WF2,INWARD,0.4,3,5,2,3283,0.0,0.021321961620469083,0.0,0.0,0.0,0.0,0.49192811452939383,0.06883947608894304,0.1023454157782516
first_available,WF3,INWARD,0.4,2,5,3,18510,0.5029812399553895,-0.039005942733657484,0.0,0.0,0.0,-0.04641592728010413,0.5418692598595354,0.053322528363047,0.08687196110210697
first_available,WF3,INWARD,0.4,3,5,2,3029,0.14285714285714235,0.002641135688345989,0.0,0.0,0.0,0.0,0.5120501815780786,0.043908880818752064,0.06866952789699571
first_available,WF1,INWARD,0.8,2,5,3,13346,0.7082928023748175,-0.06631200359658325,0.0,0.0,0.0,-0.18693221523410203,0.5862430690843698,0.04353364303911284,0.10227783605574704
first_available,WF1,INWARD,0.8,3,5,2,4494,0.25,-0.030707610146862484,0.0,0.0,0.0,-4.007905118896815e-14,0.5275923453493547,0.03337783711615487,0.08611481975967958
first_available,WF2,INWARD,0.8,2,5,3,12742,0.7957588883353635,-0.0703971119133574,0.0,0.0,0.03696494512530002,-0.19230769230769232,0.5959033118819651,0.037278292261811334,0.09778684664887773
first_available,WF2,INWARD,0.8,3,5,2,4349,0.32121212121212106,-0.03587031501494597,0.0,0.0,0.0,-0.10500340872039593,0.5415037939756265,0.037939756265808235,0.08990572545412738
first_available,WF3,INWARD,0.8,2,5,3,12313,0.7140940545120744,-0.061154876959311294,0.0,0.0,0.0,-0.18691335559884434,0.5804434337691871,0.03841468366766832,0.09014862340615609
first_available,WF3,INWARD,0.8,3,5,2,4411,0.36948624805397,-0.021990478349580594,0.0,0.0,0.0,-0.08681335498936127,0.5379732486964407,0.026071185672183177,0.08524144184992065
first_available,WF1,INWARD,1.2,3,5,2,4199,0.35,-0.05263157894736842,0.0,0.0,0.0,-0.1724137931034483,0.56656346749226,0.0178613955703739,0.10669206954036675
first_available,WF1,INWARD,1.2,2,5,3,7380,0.5333333333333332,-0.06829268292682927,0.0,0.0,0.12820512820512775,-0.25,0.5932249322493225,0.03224932249322493,0.12289972899728997
first_available,WF2,INWARD,1.2,2,5,3,7114,0.5,-0.07548495923531065,0.0,0.0,0.11764705882352944,-0.24017434113106095,0.5947427607534439,0.02628619623278043,0.10879955018273826
first_available,WF2,INWARD,1.2,3,5,2,4068,0.3857142857142857,-0.0471976401179941,0.0,0.0,0.0,-0.17647058823529416,0.5749754178957719,0.015240904621435595,0.1007866273352999
first_available,WF3,INWARD,1.2,2,5,3,6506,0.5283410312602314,-0.08161696895173685,0.0,0.0,0.04803066206522322,-0.2272727272727273,0.5893021826006763,0.026283430679372888,0.09729480479557331
first_available,WF3,INWARD,1.2,3,5,2,3891,0.23809523809523814,-0.02955538421999486,0.0,0.0,0.0,-0.14184397163120566,0.5332819326651247,0.015677203803649446,0.08918015934207145
first_available,WF1,OUTWARD,0.2,2,8,6,20015,1.231372549019608,-0.06789907569323007,0.0,0.0,0.41436464088397784,0.0,0.607744191856108,0.1023732200849363,0.13080189857606794
first_available,WF1,OUTWARD,0.2,3,8,5,2201,0.0,0.0068150840527033164,0.0,0.0,0.17715754947075002,0.0,0.4784189004997728,0.09541117673784644,0.11585642889595639
first_available,WF1,OUTWARD,0.2,5,8,3,311,1.0,-0.10289389067524116,0.0,0.0,0.06757188663101332,0.0,0.5691318327974276,0.04823151125401929,0.05466237942122187
first_available,WF2,OUTWARD,0.2,2,8,6,19505,1.1617647058823528,-0.05537041784157908,0.0,0.0,0.427346622626223,-6.634291362073164e-05,0.5955396052294284,0.10325557549346322,0.14104075877980005
first_available,WF2,OUTWARD,0.2,3,8,5,1977,-0.20000000000000018,0.0278199291856348,0.0,0.0,0.1470588235294117,0.0,0.4668689934243804,0.10166919575113809,0.1062215477996965
first_available,WF2,OUTWARD,0.2,5,8,3,321,0.0,0.024922118380062305,0.0,0.0,0.0,0.0,0.4517133956386293,0.13395638629283488,0.1588785046728972
first_available,WF3,OUTWARD,0.2,3,8,5,1843,0.33333333333333326,-0.009224091155724362,0.0,0.0,0.22222222222222232,0.0,0.5176342919153554,0.09386869234943028,0.10851871947911014
first_available,WF3,OUTWARD,0.2,2,8,6,19655,1.1666666666666667,-0.06369880437547698,0.0,0.0,0.4464285714285716,0.0,0.5893665733909946,0.09117272958534724,0.12332739760875096
first_available,WF3,OUTWARD,0.2,5,8,3,291,0.4166666666666665,-0.14776632302405499,0.0,0.0,0.024156085018804507,-0.049249012689588395,0.6219931271477663,0.06529209621993128,0.10309278350515463
first_available,WF1,OUTWARD,0.4,2,8,6,18005,1.25,-0.08486531519022494,0.0,0.0,0.43478260869565233,-0.02237488538858401,0.6188281033046376,0.09913912801999444,0.12985281866148293
first_available,WF1,OUTWARD,0.4,5,8,3,1034,0.25,-0.05029013539651837,0.0,0.0,0.0,0.0,0.5154738878143134,0.06382978723404255,0.09090909090909091
first_available,WF1,OUTWARD,0.4,3,8,5,3420,0.25,-0.03391812865497076,0.0,0.0,0.1923076923076923,0.0,0.5134502923976608,0.08538011695906433,0.10964912280701754
first_available,WF2,OUTWARD,0.4,2,8,6,17240,1.1666666666666667,-0.07157772621809745,0.0,0.0,0.46583850931677007,-0.023941371328224714,0.60707656612529,0.10087006960556845,0.14385150812064965
first_available,WF2,OUTWARD,0.4,3,8,5,3224,0.33333333333333326,-0.005583126550868486,0.0,0.0,0.20833333333333326,0.0,0.5151985111662531,0.08870967741935484,0.10638957816377172
