instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
SC,H15,B1,logistic,TOP30,6299,0.5176512578946095,-0.013357034891817499,-0.012470852610991345,0.0404885925787032,-0.0001653208065571953
SC,H15,B1,logistic,TOP20,4953,0.5210104426761825,-0.01507062904467249,-0.014309234765532697,0.04072941088132102,-0.00012082505308515892
SC,H15,B2,gbr,ALL,11116,0.5248791061436451,-0.000378179294186598,-0.00032637452187422866,0.12488117690063193,-4.945637049586519e-05
SC,H15,B2,gbr,TOP50,7753,0.5250913924891991,-0.0008415729553725715,-0.0006755233405009164,0.12210895782432603,3.2050010709541564e-05
SC,H15,B2,gbr,TOP30,6299,0.5223477943489517,-0.002366091218713562,-0.001777012399246658,0.11154694276721493,-4.701161906776771e-06
SC,H15,B2,gbr,TOP20,4953,0.5308210621423224,-0.00021947054164384028,-0.00022404852380164542,0.13958969961292933,4.063322707682066e-05
SC,H15,B2,logistic,ALL,11116,0.5177425129479463,-0.005469426446446324,-0.005353786825496254,0.056656886311028345,-0.00013617908950803813
SC,H15,B2,logistic,TOP50,7753,0.5168837367220191,-0.008851250718717285,-0.008476615051511427,0.04752397996167423,-0.00017436699774262752
SC,H15,B2,logistic,TOP30,6299,0.5157906305201772,-0.011591273849826944,-0.010902878230810709,0.045787325307885415,-0.0001192342236436133
SC,H15,B2,logistic,TOP20,4953,0.5178278972595927,-0.01369618179029719,-0.013101745897516448,0.04414225832840621,-0.00010442074746767785
SC,H15,B3,gbr,ALL,11116,0.5227647608886716,-0.00032605040391286977,-0.00028272496532877334,0.1270569204185879,-3.1100220228512215e-05
