group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
ALL_8,H5,B2,TOP50,gbr,8,0.5309911807262395,1.0,-0.0012025926071723703,0.25,-0.0010634758141745415,0.25,2.2852490872145273e-05,0.625,0.12490447694378479,1.0
ALL_8,H5,B2,TOP50,logistic,8,0.5259568392001992,1.0,-0.006505182292643963,0.125,-0.00795014035310282,0.125,2.412102087325659e-05,0.625,0.035045936892916914,0.875
ALL_8,H5,B3,ALL,gbr,8,0.5326105145230369,1.0,0.0008791072765666486,0.625,0.0005205982252539654,0.625,2.5432058755304858e-05,0.875,0.13335991517925314,1.0
ALL_8,H5,B3,ALL,logistic,8,0.527045897848023,1.0,-0.0042303190929331436,0.0,-0.006229940155259572,0.0,3.9418402714809716e-05,0.875,0.047296289473929554,1.0
ALL_8,H5,B3,TOP20,gbr,8,0.5255920587747829,1.0,-0.0012288865167044971,0.5,-0.0009078354453390114,0.5,7.991374871280572e-05,0.75,0.11016143209977411,1.0
ALL_8,H5,B3,TOP20,logistic,8,0.5299308613097912,1.0,-0.01393977900016452,0.125,-0.01733854796066281,0.125,2.5988647551791406e-05,0.5,0.03266579598898343,0.875
ALL_8,H5,B3,TOP30,gbr,8,0.5333355266555586,1.0,0.0008459583341303145,0.625,0.0005947725781266233,0.625,6.10515173015762e-05,0.875,0.13528548606063237,1.0
ALL_8,H5,B3,TOP30,logistic,8,0.527759013864409,1.0,-0.01135141068407064,0.125,-0.013201074563460313,0.125,6.219580678098789e-05,0.625,0.041794917085298415,1.0
ALL_8,H5,B3,TOP50,gbr,8,0.5320099842862154,1.0,-0.0008860764581616332,0.375,-0.0007680319456424556,0.375,7.638586853922899e-05,0.875,0.12846696551720424,1.0
ALL_8,H5,B3,TOP50,logistic,8,0.5265588984716716,1.0,-0.007818205179758286,0.125,-0.009689295335827963,0.0,5.459964001748213e-05,0.75,0.04303309614467943,1.0
EX_I_7,H15,B0,ALL,gbr,7,0.5184159604347581,1.0,-0.004630844020776292,0.14285714285714285,-0.0037103041602550846,0.14285714285714285,-0.00011061156459989489,0.42857142857142855,0.08286269288459021,0.7142857142857143
EX_I_7,H15,B0,ALL,logistic,7,0.5099378405403197,1.0,-0.0076785301812862805,0.14285714285714285,-0.009919295126998406,0.14285714285714285,-8.586788143964211e-05,0.2857142857142857,0.016134582083365785,0.7142857142857143
EX_I_7,H15,B0,TOP20,gbr,7,0.5202616422767499,1.0,-0.007460356027155113,0.0,-0.005990336345534697,0.0,-0.0003318938091269467,0.42857142857142855,0.0775338898470165,0.7142857142857143
EX_I_7,H15,B0,TOP20,logistic,7,0.5136976526523422,1.0,-0.014592539283173611,0.0,-0.017698419183435732,0.0,-0.00024203260090254356,0.14285714285714285,0.008347570784119384,0.7142857142857143
EX_I_7,H15,B0,TOP30,gbr,7,0.5239493972225213,1.0,-0.006192559544226928,0.0,-0.004899894509821312,0.0,-0.00024334038297990222,0.42857142857142855,0.0773604241566077,0.7142857142857143
EX_I_7,H15,B0,TOP30,logistic,7,0.5112042365292025,1.0,-0.012526585725582517,0.14285714285714285,-0.015127622181653644,0.0,-0.00021741026532887678,0.14285714285714285,0.009754666849642744,0.7142857142857143
EX_I_7,H15,B0,TOP50,gbr,7,0.5181891078142307,1.0,-0.006679629305959223,0.0,-0.005181234628889975,0.0,-0.00013549036608863607,0.42857142857142855,0.07455525529504103,0.7142857142857143
EX_I_7,H15,B0,TOP50,logistic,7,0.5082192709355922,1.0,-0.009870773123543453,0.14285714285714285,-0.012609081153864832,0.14285714285714285,-0.0002329141786754403,0.14285714285714285,0.009713025035364777,0.5714285714285714
EX_I_7,H15,B1,ALL,gbr,7,0.5167744800773518,1.0,-0.0035362104559830687,0.14285714285714285,-0.002719207067513052,0.14285714285714285,8.593090646328162e-06,0.5714285714285714,0.08567333807762761,0.7142857142857143
