bar_index,time,close,oracle_position,oracle_action,oracle_delta,oracle_prev_position,oracle_transition,oracle_entry_side,penalty_bp
2752,2026-08-07 23:00:00,15505.0,-1,HOLD,0,-1,-1->-1,,50
2753,2026-08-08 00:00:00,15466.0,-1,HOLD,0,-1,-1->-1,,50
2754,2026-08-08 01:00:00,15511.0,-1,HOLD,0,-1,-1->-1,,50
2755,2026-08-08 02:00:00,15451.0,1,BUY,2,-1,-1->1,BUY,50
2756,2026-08-10 09:00:00,15512.0,1,HOLD,0,1,1->1,,50
2757,2026-08-10 10:00:00,15482.0,1,HOLD,0,1,1->1,,50
2758,2026-08-10 11:00:00,15510.0,1,HOLD,0,1,1->1,,50
2759,2026-08-10 13:00:00,15687.0,1,HOLD,0,1,1->1,,50
2760,2026-08-10 14:00:00,15705.0,-1,SELL,-2,1,1->-1,SELL,50
2761,2026-08-10 21:00:00,15548.0,1,BUY,2,-1,-1->1,BUY,50
2762,2026-08-10 22:00:00,15793.0,1,HOLD,0,1,1->1,,50
2763,2026-08-10 23:00:00,15892.0,1,HOLD,0,1,1->1,,50
2764,2026-08-11 00:00:00,15862.0,1,HOLD,0,1,1->1,,50
2765,2026-08-11 01:00:00,15894.0,1,HOLD,0,1,1->1,,50
2766,2026-08-11 02:00:00,15884.0,1,HOLD,0,1,1->1,,50
2767,2026-08-11 09:00:00,16206.0,-1,SELL,-2,1,1->-1,SELL,50
2768,2026-08-11 10:00:00,16051.0,-1,HOLD,0,-1,-1->-1,,50
2769,2026-08-11 11:00:00,16069.0,-1,HOLD,0,-1,-1->-1,,50
2770,2026-08-11 13:00:00,15845.0,-1,HOLD,0,-1,-1->-1,,50
2771,2026-08-11 14:00:00,15748.0,1,BUY,2,-1,-1->1,BUY,50
2772,2026-08-11 21:00:00,15851.0,1,HOLD,0,1,1->1,,50
2773,2026-08-11 22:00:00,15879.0,1,HOLD,0,1,1->1,,50
2774,2026-08-11 23:00:00,15861.0,1,HOLD,0,1,1->1,,50
2775,2026-08-12 00:00:00,15868.0,1,HOLD,0,1,1->1,,50
2776,2026-08-12 01:00:00,15800.0,1,HOLD,0,1,1->1,,50
2777,2026-08-12 02:00:00,15795.0,1,HOLD,0,1,1->1,,50
2778,2026-08-12 09:00:00,15948.0,1,HOLD,0,1,1->1,,50
2779,2026-08-12 10:00:00,16041.0,1,HOLD,0,1,1->1,,50
2780,2026-08-12 11:00:00,16054.0,1,HOLD,0,1,1->1,,50
2781,2026-08-12 13:00:00,16001.0,1,HOLD,0,1,1->1,,50
2782,2026-08-12 14:00:00,16154.0,-1,SELL,-2,1,1->-1,SELL,50
2783,2026-08-12 21:00:00,16142.0,-1,HOLD,0,-1,-1->-1,,50
2784,2026-08-12 22:00:00,16111.0,-1,HOLD,0,-1,-1->-1,,50
2785,2026-08-12 23:00:00,16082.0,-1,HOLD,0,-1,-1->-1,,50
2786,2026-08-13 00:00:00,15971.0,-1,HOLD,0,-1,-1->-1,,50
2787,2026-08-13 01:00:00,15991.0,-1,HOLD,0,-1,-1->-1,,50
2788,2026-08-13 02:00:00,16024.0,-1,HOLD,0,-1,-1->-1,,50
2789,2026-08-13 09:00:00,15988.0,-1,HOLD,0,-1,-1->-1,,50
2790,2026-08-13 10:00:00,15970.0,-1,HOLD,0,-1,-1->-1,,50
2791,2026-08-13 11:00:00,15968.0,-1,HOLD,0,-1,-1->-1,,50
2792,2026-08-13 13:00:00,15880.0,-1,HOLD,0,-1,-1->-1,,50
2793,2026-08-13 14:00:00,15823.0,-1,HOLD,0,-1,-1->-1,,50
2794,2026-08-13 21:00:00,15841.0,-1,HOLD,0,-1,-1->-1,,50
2795,2026-08-13 22:00:00,15877.0,-1,HOLD,0,-1,-1->-1,,50
2796,2026-08-13 23:00:00,15791.0,-1,HOLD,0,-1,-1->-1,,50
2797,2026-08-14 00:00:00,15832.0,-1,HOLD,0,-1,-1->-1,,50
2798,2026-08-14 01:00:00,15807.0,-1,HOLD,0,-1,-1->-1,,50
2799,2026-08-14 02:00:00,15805.0,-1,HOLD,0,-1,-1->-1,,50
2800,2026-08-14 09:00:00,15585.0,1,BUY,2,-1,-1->1,BUY,50
2801,2026-08-14 10:00:00,15589.0,1,HOLD,0,1,1->1,,50
2802,2026-08-14 11:00:00,15664.0,1,HOLD,0,1,1->1,,50
2803,2026-08-14 13:00:00,15695.0,1,HOLD,0,1,1->1,,50
2804,2026-08-14 14:00:00,15722.0,1,HOLD,0,1,1->1,,50
2805,2026-08-14 21:00:00,15967.0,1,HOLD,0,1,1->1,,50
2806,2026-08-14 22:00:00,15940.0,1,HOLD,0,1,1->1,,50
2807,2026-08-14 23:00:00,15912.0,1,HOLD,0,1,1->1,,50
2808,2026-08-15 00:00:00,15891.0,1,HOLD,0,1,1->1,,50
2809,2026-08-15 01:00:00,15855.0,1,HOLD,0,1,1->1,,50
2810,2026-08-15 02:00:00,15841.0,1,HOLD,0,1,1->1,,50
2811,2026-08-17 09:00:00,16084.0,1,HOLD,0,1,1->1,,50
2812,2026-08-17 10:00:00,16065.0,1,HOLD,0,1,1->1,,50
2813,2026-08-17 11:00:00,16055.0,1,HOLD,0,1,1->1,,50
2814,2026-08-17 13:00:00,16107.0,1,HOLD,0,1,1->1,,50
2815,2026-08-17 14:00:00,16143.0,1,HOLD,0,1,1->1,,50
2816,2026-08-17 21:00:00,16078.0,1,HOLD,0,1,1->1,,50
2817,2026-08-17 22:00:00,16204.0,1,HOLD,0,1,1->1,,50
2818,2026-08-17 23:00:00,16258.0,-1,SELL,-2,1,1->-1,SELL,50
2819,2026-08-18 00:00:00,16244.0,-1,HOLD,0,-1,-1->-1,,50
2820,2026-08-18 01:00:00,16161.0,-1,HOLD,0,-1,-1->-1,,50
2821,2026-08-18 02:00:00,16134.0,-1,HOLD,0,-1,-1->-1,,50
2822,2026-08-18 09:00:00,16068.0,-1,HOLD,0,-1,-1->-1,,50
2823,2026-08-18 10:00:00,16005.0,-1,HOLD,0,-1,-1->-1,,50
2824,2026-08-18 11:00:00,15983.0,-1,HOLD,0,-1,-1->-1,,50
2825,2026-08-18 13:00:00,15942.0,-1,HOLD,0,-1,-1->-1,,50
2826,2026-08-18 14:00:00,15961.0,-1,HOLD,0,-1,-1->-1,,50
2827,2026-08-18 21:00:00,15874.0,-1,HOLD,0,-1,-1->-1,,50
2828,2026-08-18 22:00:00,15730.0,-1,HOLD,0,-1,-1->-1,,50
2829,2026-08-18 23:00:00,15672.0,-1,HOLD,0,-1,-1->-1,,50
2830,2026-08-19 00:00:00,15652.0,-1,HOLD,0,-1,-1->-1,,50
2831,2026-08-19 01:00:00,15634.0,-1,HOLD,0,-1,-1->-1,,50
2832,2026-08-19 02:00:00,15620.0,-1,HOLD,0,-1,-1->-1,,50
2833,2026-08-19 09:00:00,15493.0,-1,HOLD,0,-1,-1->-1,,50
2834,2026-08-19 10:00:00,15443.0,-1,HOLD,0,-1,-1->-1,,50
2835,2026-08-19 11:00:00,15429.0,-1,HOLD,0,-1,-1->-1,,50
2836,2026-08-19 13:00:00,15342.0,1,BUY,2,-1,-1->1,BUY,50
2837,2026-08-19 14:00:00,15432.0,1,HOLD,0,1,1->1,,50
2838,2026-08-19 21:00:00,15907.0,1,HOLD,0,1,1->1,,50
2839,2026-08-19 22:00:00,16029.0,1,HOLD,0,1,1->1,,50
2840,2026-08-19 23:00:00,16088.0,1,HOLD,0,1,1->1,,50
2841,2026-08-20 00:00:00,16075.0,1,HOLD,0,1,1->1,,50
2842,2026-08-20 01:00:00,16068.0,1,HOLD,0,1,1->1,,50
2843,2026-08-20 02:00:00,16027.0,1,HOLD,0,1,1->1,,50
2844,2026-08-20 09:00:00,16276.0,1,HOLD,0,1,1->1,,50
2845,2026-08-20 10:00:00,16375.0,1,HOLD,0,1,1->1,,50
2846,2026-08-20 11:00:00,16395.0,1,HOLD,0,1,1->1,,50
2847,2026-08-20 13:00:00,16292.0,1,HOLD,0,1,1->1,,50
2848,2026-08-20 14:00:00,16361.0,1,HOLD,0,1,1->1,,50
2849,2026-08-20 21:00:00,16389.0,1,HOLD,0,1,1->1,,50
2850,2026-08-20 22:00:00,16660.0,1,HOLD,0,1,1->1,,50
2851,2026-08-20 23:00:00,16648.0,1,HOLD,0,1,1->1,,50
2852,2026-08-21 00:00:00,16613.0,1,HOLD,0,1,1->1,,50
2853,2026-08-21 01:00:00,16615.0,1,HOLD,0,1,1->1,,50
2854,2026-08-21 02:00:00,16589.0,1,HOLD,0,1,1->1,,50
2855,2026-08-21 09:00:00,16723.0,1,HOLD,0,1,1->1,,50
2856,2026-08-21 10:00:00,16762.0,1,HOLD,0,1,1->1,,50
2857,2026-08-21 11:00:00,16766.0,1,HOLD,0,1,1->1,,50
