group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
EX_I_7,H5,S2,ALL,logistic,7,0.5256772030962049,1.0,-0.0032317880297347834,0.14285714285714285,-0.005119437898390755,0.14285714285714285,-5.329714287128095e-07,0.42857142857142855
EX_I_7,H5,S2,TOP20,gbr,7,0.52973630447427,1.0,-0.003108226322663832,0.2857142857142857,-0.002362180706035222,0.2857142857142857,1.0992365480273679e-05,0.5714285714285714
EX_I_7,H5,S2,TOP20,logistic,7,0.5314918926103137,1.0,-0.013440756038998858,0.0,-0.013116620583505156,0.0,3.920823444145428e-05,0.5714285714285714
EX_I_7,H5,S2,TOP30,gbr,7,0.5308987050215177,1.0,0.00016428557207370797,0.5714285714285714,3.9527539268391365e-05,0.5714285714285714,-1.0461065546822693e-05,0.42857142857142855
EX_I_7,H5,S2,TOP30,logistic,7,0.5307136117855615,1.0,-0.007653038470208928,0.0,-0.00957438011602374,0.0,3.846873416029116e-05,0.7142857142857143
EX_I_7,H5,S2,TOP50,gbr,7,0.5274257165211198,1.0,-0.001673638846368286,0.2857142857142857,-0.001369802583460089,0.14285714285714285,-4.981270172667748e-06,0.42857142857142855
EX_I_7,H5,S2,TOP50,logistic,7,0.524378494910372,1.0,-0.004986699985494836,0.0,-0.007243833649141385,0.0,-7.002812929827084e-07,0.42857142857142855
EX_I_7,H5,S3,ALL,gbr,7,0.5304599429132212,1.0,-6.63342310067705e-05,0.42857142857142855,-0.00020065002482994032,0.42857142857142855,5.4778901062330554e-05,0.5714285714285714
EX_I_7,H5,S3,ALL,logistic,7,0.5254171777020604,1.0,-0.004016085281904669,0.0,-0.0065408998531673035,0.0,3.812030768585795e-05,0.7142857142857143
EX_I_7,H5,S3,TOP20,gbr,7,0.529045005074586,1.0,-0.0028884105022948248,0.14285714285714285,-0.0021767697984711454,0.14285714285714285,4.778653176530794e-05,0.5714285714285714
EX_I_7,H5,S3,TOP20,logistic,7,0.5288324029771398,1.0,-0.016444734432630392,0.0,-0.016629478182366597,0.0,4.180182213125669e-05,0.7142857142857143
EX_I_7,H5,S3,TOP30,gbr,7,0.5312303627065613,1.0,-0.0014628840196351245,0.42857142857142855,-0.001173093109566814,0.42857142857142855,5.1158055456529126e-05,0.5714285714285714
EX_I_7,H5,S3,TOP30,logistic,7,0.5309441531486345,1.0,-0.008417513351182349,0.0,-0.012949393301821877,0.0,4.1866990103405386e-05,0.7142857142857143
EX_I_7,H5,S3,TOP50,gbr,7,0.5281747613525966,1.0,-0.001262093488366256,0.14285714285714285,-0.0011102245925564969,0.14285714285714285,5.10461147851588e-05,0.7142857142857143
EX_I_7,H5,S3,TOP50,logistic,7,0.5257210211815773,1.0,-0.005906871829854499,0.0,-0.008957283674583927,0.0,4.0800001303701e-05,0.5714285714285714
