ns,contract
1762523100000000000,SHFE.ag2512
1762524000000000000,SHFE.ag2512
1762524900000000000,SHFE.ag2512
1762525800000000000,SHFE.ag2512
1762526700000000000,SHFE.ag2512
1762527600000000000,SHFE.ag2512
1762528500000000000,SHFE.ag2512
1762529400000000000,SHFE.ag2512
1762530300000000000,SHFE.ag2512
1762531200000000000,SHFE.ag2512
1762532100000000000,SHFE.ag2512
1762533000000000000,SHFE.ag2512
1762533900000000000,SHFE.ag2512
1762534800000000000,SHFE.ag2512
1762535700000000000,SHFE.ag2512
1762536600000000000,SHFE.ag2512
1762537500000000000,SHFE.ag2512
1762538400000000000,SHFE.ag2512
1762539300000000000,SHFE.ag2512
1762736400000000000,SHFE.ag2512
1762737300000000000,SHFE.ag2512
1762738200000000000,SHFE.ag2512
1762739100000000000,SHFE.ag2512
1762740000000000000,SHFE.ag2512
1762741800000000000,SHFE.ag2512
1762742700000000000,SHFE.ag2512
1762743600000000000,SHFE.ag2512
1762744500000000000,SHFE.ag2512
1762752600000000000,SHFE.ag2512
1762753500000000000,SHFE.ag2512
1762754400000000000,SHFE.ag2512
1762755300000000000,SHFE.ag2512
1762756200000000000,SHFE.ag2512
1762757100000000000,SHFE.ag2512
1762779600000000000,SHFE.ag2512
1762780500000000000,SHFE.ag2512
1762781400000000000,SHFE.ag2512
1762782300000000000,SHFE.ag2512
1762783200000000000,SHFE.ag2512
1762784100000000000,SHFE.ag2512
1762785000000000000,SHFE.ag2512
1762785900000000000,SHFE.ag2512
1762786800000000000,SHFE.ag2512
1762787700000000000,SHFE.ag2512
1762788600000000000,SHFE.ag2512
1762789500000000000,SHFE.ag2512
1762790400000000000,SHFE.ag2512
1762791300000000000,SHFE.ag2512
1762792200000000000,SHFE.ag2512
1762793100000000000,SHFE.ag2512
1762794000000000000,SHFE.ag2512
1762794900000000000,SHFE.ag2512
1762795800000000000,SHFE.ag2512
1762796700000000000,SHFE.ag2512
1762797600000000000,SHFE.ag2512
1762798500000000000,SHFE.ag2512
1762822800000000000,SHFE.ag2512
1762823700000000000,SHFE.ag2512
1762824600000000000,SHFE.ag2512
1762825500000000000,SHFE.ag2512
1762826400000000000,SHFE.ag2512
1762828200000000000,SHFE.ag2512
1762829100000000000,SHFE.ag2512
