risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
0.5,WF3,M_full,69675,23685,0.5279562982005142,0.7040822002041829,0.7177071770177014,0.22156206206579507,0.6375898571729947,0.7798184504960946,0.2841460840194216,0.24381021418109255
0.5,WF3,M_full_minus_contact,69675,23685,0.5279562982005142,0.7129529775952345,0.7274515237891843,0.2172007583062229,0.6257499381580279,0.787629301245514,0.27337977622968124,0.2545765219708329
0.5,WF3,M_full_minus_liquidity,69675,23685,0.5279562982005142,0.5989129530418711,0.6024273111262298,0.24429409604529082,0.682667645743631,0.6457673633101119,0.4025754697065653,0.12538082849394883
0.5,WF3,M_full_minus_trend,69675,23685,0.5279562982005142,0.7049664498071904,0.7195108340393428,0.22106586520394347,0.6357212855012612,0.7800295545704032,0.28646822883681655,0.2414880693636976
0.5,WF3,M_full_minus_ob,69675,23685,0.5279562982005142,0.7059212956862712,0.7206677991643664,0.22065772381455442,0.6344511966847722,0.7850960523538104,0.2854127084652734,0.24254358973524076
0.75,WF1,M0,20763,25444,0.6635282776349615,0.5999888474823273,0.749080299453025,0.21176217203296674,0.6136864418114256,0.7793279622715661,0.5610139516604441,0.10251432597451737
0.75,WF1,M_contact,20763,25444,0.6635282776349615,0.6187524309248422,0.7654514688335128,0.21225129483297334,0.6147407683825293,0.811750835134604,0.5659265081548438,0.09760176948011767
0.75,WF1,M_liquidity,20763,25444,0.6635282776349615,0.7333348760364938,0.850693621610181,0.1905185954984343,0.5671486097816698,0.9078404401650619,0.4295539398703085,0.23397433776465298
0.75,WF1,M_trend,20763,25444,0.6635282776349615,0.6026452411717332,0.7551780927153728,0.21229207423221214,0.6147744183483329,0.7824719984279819,0.5584594222833562,0.10506885535160526
0.75,WF1,M_ob,20763,25444,0.6635282776349615,0.5940352180738881,0.7398367586392811,0.21390671284478124,0.618481102118535,0.7681273334643348,0.5602279426213401,0.10330033501362135
0.75,WF1,M_full,20763,25444,0.6635282776349615,0.7282388584127785,0.8475264340927385,0.19414848604039542,0.5803482757260964,0.9072509333857339,0.43033994890941246,0.233188328725549
0.75,WF1,M_full_minus_contact,20763,25444,0.6635282776349615,0.7314354263345375,0.8502650287869479,0.19163778440189652,0.5696491909604987,0.9101984672823737,0.4378070347809,0.22572124285406148
0.75,WF1,M_full_minus_liquidity,20763,25444,0.6635282776349615,0.61703730716059,0.7652073705214562,0.21403997004738406,0.6182676336339427,0.8082137944586363,0.577520141481627,0.08600813615333447
0.75,WF1,M_full_minus_trend,20763,25444,0.6635282776349615,0.7280063479526059,0.846741757973018,0.19402296453261927,0.5807413638592634,0.9041068972293181,0.4275889172725486,0.23593936036241286
0.75,WF1,M_full_minus_ob,20763,25444,0.6635282776349615,0.7302559713109681,0.8489408292415799,0.19329540281196456,0.5781755093423506,0.9074474356455099,0.42778541953232463,0.23574285810263684
0.75,WF2,M0,46207,23468,0.6635282776349615,0.592798314511541,0.7243333281250133,0.2203920293074735,0.6330802803786882,0.7417980400511291,0.5255645504899872,0.1379637271449743
0.75,WF2,M_contact,46207,23468,0.6635282776349615,0.6165409742229816,0.7499325828883888,0.21877744100761587,0.6301349009680489,0.7931401789518534,0.5383468257349808,0.12518145189998064
0.75,WF2,M_liquidity,46207,23468,0.6635282776349615,0.7381556509269123,0.8391277593563456,0.19779742394318828,0.5855275823715591,0.9069024286322965,0.3894333191308053,0.27409495850415616
0.75,WF2,M_trend,46207,23468,0.6635282776349615,0.5859405697520516,0.7183619824035701,0.22095621984092984,0.6346977660479369,0.726033233915637,0.5443118875159778,0.11921639011898366
0.75,WF2,M_ob,46207,23468,0.6635282776349615,0.5855117588495571,0.7183561083339627,0.22214845273839046,0.6373686472679779,0.7343417128248828,0.5432466979122283,0.12028157972273312
0.75,WF2,M_full,46207,23468,0.6635282776349615,0.7337618123639047,0.8348145931012274,0.2003936714353927,0.5944765427268266,0.9026416702172987,0.3958244567533021,0.2677038208816594
0.75,WF2,M_full_minus_contact,46207,23468,0.6635282776349615,0.7368731359270095,0.8376109588017946,0.19895982933268516,0.5891205196599685,0.903919897741798,0.39390711546655305,0.2696211621684084
0.75,WF2,M_full_minus_liquidity,46207,23468,0.6635282776349615,0.6108727312860964,0.7457643501441495,0.220785837759917,0.6356669082644129,0.7895185342991052,0.5487856838517257,0.11474259378323581
0.75,WF2,M_full_minus_trend,46207,23468,0.6635282776349615,0.7343878927941985,0.8358351628565636,0.20016009299339488,0.5935284788809548,0.9045590115040477,0.39667660843630165,0.2668516691986598
0.75,WF2,M_full_minus_ob,46207,23468,0.6635282776349615,0.7335958116468185,0.8346299692691024,0.19992856813537618,0.593371294556875,0.9024286322965488,0.3975287601193012,0.26599951751566026
0.75,WF3,M0,69675,23685,0.6635282776349615,0.6047251347163157,0.7298026089464048,0.21927215081330148,0.6293005823559541,0.7612412919569348,0.549926113573992,0.11360216406096946
0.75,WF3,M_contact,69675,23685,0.6635282776349615,0.6233165994037915,0.7456902906081715,0.21781856327340782,0.6267114635696335,0.7861515727253536,0.5220603757652522,0.14146790186970926
0.75,WF3,M_liquidity,69675,23685,0.6635282776349615,0.7464604668667391,0.8492382646216503,0.19106168254986833,0.5606742786092092,0.9161916824994722,0.37745408486383786,0.2860741927711236
0.75,WF3,M_trend,69675,23685,0.6635282776349615,0.6055135783008407,0.7268475135317609,0.2192647614724095,0.6294153469508283,0.7565970023221448,0.5400042220814861,0.12352405555347534
0.75,WF3,M_ob,69675,23685,0.6635282776349615,0.6078192064566805,0.7310204188295668,0.2190866887771349,0.6288955686917124,0.7698965590035888,0.5313489550348321,0.13217932260012932
0.75,WF3,M_full,69675,23685,0.6635282776349615,0.7407975578970399,0.844913941403301,0.19350388249493145,0.5681557369585116,0.9142917458306945,0.38716487228203506,0.2763634053529264
0.75,WF3,M_full_minus_contact,69675,23685,0.6635282776349615,0.7456075230133945,0.8478256845652828,0.191162702074762,0.5615202949131316,0.9208359721342622,0.37808739708676375,0.2854408805481977
0.75,WF3,M_full_minus_liquidity,69675,23685,0.6635282776349615,0.6266659104021984,0.7461132366287687,0.21726423881907098,0.6257314001825602,0.7895292379142917,0.5125606924213637,0.15096758521359777
0.75,WF3,M_full_minus_trend,69675,23685,0.6635282776349615,0.7409218081090332,0.8452113817692446,0.19351349126141626,0.5679830514589813,0.91344732953346,0.3852649356132573,0.27826334202170416
0.75,WF3,M_full_minus_ob,69675,23685,0.6635282776349615,0.7403898347639468,0.8452352606835548,0.19385056750765048,0.5687798991884981,0.9115473928646823,0.38653156005910916,0.2769967175758523
1.0,WF1,M0,20763,25444,0.7443551842330762,0.6138976281146237,0.8246584353422806,0.17780039067661949,0.5385647635123569,0.8465317351149538,0.6331302809982314,0.1112249032348448
1.0,WF1,M_contact,20763,25444,0.7443551842330762,0.6326913915820145,0.8378080871922879,0.17815959101981088,0.5376032372798744,0.874828060522696,0.6478679504814305,0.0964872337516457
1.0,WF1,M_liquidity,20763,25444,0.7443551842330762,0.7623264543766725,0.9081021740459547,0.1585979548129096,0.488105299906512,0.9612890548241305,0.50049125564944,0.24386392858363626
1.0,WF1,M_trend,20763,25444,0.7443551842330762,0.6143203601311248,0.827536707861388,0.17821770099681603,0.53939815681441,0.8563568481037532,0.6390253487915111,0.10532983544156516
