wf,action,first_h,scale,target_bin,risk_bin,plane,n_available,n_resolved,target_first_rate,stop_first_rate,ambiguous_rate,censored_rate,E_R_lower,E_R_upper,ambiguity_gap_R,median_target_atr,median_risk_atr,median_RR,rr_bin
WF1,OUTWARD,2,0.4,0.5-1,>=3,target_x_risk,60,60,0.75,0.2,0.05,0.0,-0.08888990513125392,-0.03399743201297433,0.05489247311827958,0.8333333333333334,3.75,0.23076923076923078,
WF1,OUTWARD,2,0.4,>=5,0.5-1,target_x_risk,670,600,0.026865671641791045,0.8686567164179104,0.0,0.1044776119402985,-0.7057380962528935,-0.7057380962528935,0.0,7.115641946615959,0.6896551724137931,10.666666666666666,
WF1,OUTWARD,2,0.4,3-5,>=3,target_x_risk,58,43,0.39655172413793105,0.3448275862068966,0.0,0.25862068965517243,0.011173941227166586,0.011173941227166586,0.0,3.884981328790838,4.2105263157894735,0.851063829787234,
WF1,OUTWARD,2,0.4,3-5,1-2,target_x_risk,594,527,0.21043771043771045,0.6767676767676768,0.0,0.1127946127946128,-0.09302425127467134,-0.09302425127467134,0.0,3.75,1.2500454165606947,3.0,
WF1,OUTWARD,2,0.4,0.5-1,1-2,target_x_risk,918,911,0.6623093681917211,0.3300653594771242,0.0,0.007625272331154684,0.03794836007381705,0.03794836007381705,0.0,0.7142857142857143,1.282923552220233,0.5428641183035714,
WF1,OUTWARD,2,0.4,2-3,>=3,target_x_risk,73,55,0.6575342465753424,0.0958904109589041,0.0,0.2465753424657534,0.4188399474059571,0.4188399474059571,0.0,2.5925925925925926,4.074074074074074,0.6363636363636364,
WF1,OUTWARD,2,0.4,>=5,>=3,target_x_risk,85,44,0.2235294117647059,0.29411764705882354,0.0,0.4823529411764706,0.02158242946375346,0.02158242946375346,0.0,7.499999999999999,4.462912053267422,1.6734693877551021,
WF1,OUTWARD,2,0.4,<0.5,0.25-0.5,target_x_risk,189,189,0.3544973544973545,0.5291005291005291,0.1164021164021164,0.0,-0.3503554233556402,-0.1411693240450282,0.20918609931061205,0.41666666666666663,0.43478260869565216,1.0,
WF1,OUTWARD,2,0.4,<0.5,1-2,target_x_risk,500,500,0.786,0.166,0.048,0.0,-0.04647024328806646,0.014682142311688203,0.06115238559975466,0.3125,1.3333333333333333,0.2222222222222222,
WF1,OUTWARD,2,0.4,0.5-1,0.25-0.5,target_x_risk,600,600,0.2966666666666667,0.6716666666666666,0.03166666666666667,0.0,-0.10171367091103937,-0.01032771113755763,0.09138595977348174,0.8333333333333333,0.3846153846153846,2.0,
WF1,OUTWARD,2,0.4,>=5,<0.25,target_x_risk,221,217,0.02262443438914027,0.9592760180995475,0.0,0.01809954751131222,-0.1704801854570208,-0.1704801854570208,0.0,6.59090909090909,0.17857142857142858,42.98413666870043,
WF1,OUTWARD,2,0.4,>=5,0.25-0.5,target_x_risk,399,384,0.03759398496240601,0.924812030075188,0.0,0.03759398496240601,-0.180313270033019,-0.180313270033019,0.0,6.686046511627907,0.3693364082467791,19.0,
WF1,OUTWARD,2,0.4,2-3,2-3,target_x_risk,158,145,0.379746835443038,0.5379746835443038,0.0,0.08227848101265822,-0.19210882194302817,-0.19210882194302817,0.0,2.272727272727273,2.3529411764705883,1.0,
WF1,OUTWARD,2,0.4,3-5,2-3,target_x_risk,108,82,0.21296296296296297,0.5462962962962963,0.0,0.24074074074074073,-0.2671774916895391,-0.2671774916895391,0.0,4.055555555555555,2.368431619778857,1.6339882317742096,
WF1,OUTWARD,2,0.4,1-2,2-3,target_x_risk,289,280,0.6608996539792388,0.3079584775086505,0.0,0.031141868512110725,0.09295451518603058,0.09295451518603058,0.0,1.3333333333333333,2.25,0.6,
WF1,OUTWARD,2,0.4,<0.5,2-3,target_x_risk,102,102,0.7647058823529411,0.21568627450980393,0.0196078431372549,0.0,-0.11898004289382959,-0.09610422590036555,0.022875816993464054,0.3658536585365854,2.3205128205128203,0.14388905781958633,
WF1,OUTWARD,2,0.4,0.5-1,2-3,target_x_risk,191,191,0.7225130890052356,0.2774869109947644,0.0,0.0,-0.0491618176979753,-0.0491618176979753,0.0,0.7509194361536827,2.241379310344828,0.3076923076923077,
