signal_gid,selected_edge_index,selected_edge_train_count,selected_edge_unseen,selected_edge_gt_train_p95,selected_edge_gt_train_p99,selected_edge_gt_train_max,selected_graph_ev,selected_p_reach,selected_rr_ref
1180,0,21135,False,False,False,False,-0.0074074742372381985,0.3511149375670194,1.7058823529411764
1181,0,21135,False,False,False,False,0.038000163955449806,0.4734889006322653,1.12244897959192
1182,0,21135,False,False,False,False,0.04886551263305772,0.4507002555971372,1.2500000000000202
1183,0,21135,False,False,False,False,-0.15468229545467949,0.5509548937207823,0.4580152671755598
1185,0,21135,False,False,False,False,-0.022954662438929074,0.4767716401902573,0.9810126582278368
1187,0,21135,False,False,False,False,-0.1863417614332582,0.5920707530170443,0.3333333333333333
1188,0,21135,False,False,False,False,-0.850633005297335,5.35463783315026e-05,14.625
1189,0,21135,False,False,False,False,-0.40922056148333996,0.1022348025463981,3.749999999999899
1190,0,21135,False,False,False,False,-0.01866585156648648,0.33138479795046233,1.827956989247276
1191,0,21135,False,False,False,False,-0.061523095764371205,0.5638272683165123,0.6176470588235294
1192,0,21135,False,False,False,False,-0.039229825556026,0.4958062740260698,0.875
1193,0,21135,False,False,False,False,0.05324852101471744,0.3937988067344299,1.574803149606322
1194,0,21135,False,False,False,False,-0.20140476330600335,0.634320354947521,0.22727272727271478
1197,0,21135,False,False,False,False,0.016080146395821004,0.32362983208451307,2.0
1202,0,21135,False,False,False,False,-0.011290214737529225,0.33702626255383833,1.8122270742358368
1204,0,21135,False,False,False,False,-0.1363131588813874,0.49440612443449883,0.6498194945848418
1206,1,9229,False,False,False,False,-0.819544086088719,0.009174618091062712,8.173076923076733
1333,0,21135,False,False,False,False,-0.009880640454334177,0.46796118320315216,1.0493827160493356
1335,0,21135,False,False,False,False,-0.08083386570380996,0.5802139398742931,0.5434782608695222
1336,0,21135,False,False,False,False,-0.7898228805262644,9.531284552508362e-07,20.16129032257828
1337,0,21135,False,False,False,False,-0.5326089466854358,0.07077041612360549,4.553571428571132
1338,1,9229,False,False,False,False,-0.295662195668313,0.11189479648798421,4.62732919254648
1340,0,21135,False,False,False,False,-0.10584435398363462,0.5541378204268658,0.568181818181826
1341,0,21135,False,False,False,False,-0.04421110294930497,0.2998170210196237,2.031300862630131
1342,0,21135,False,False,False,False,-0.5558246919558463,0.05866928579032497,4.583333333333333
1343,0,21135,False,False,False,False,-0.8683623366844876,0.0008582399965335489,10.645161290321331
1344,0,21135,False,False,False,False,-0.7751082194306943,4.158891136370757e-07,21.29629629629773
1345,0,21135,False,False,False,False,-0.8421916474924582,2.802278749593495e-05,15.517241379312292
